"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5458.0488431159","5599.23785702753","6211.50320126472","6683.32619302078","7734.40937237314","8680.7024601897","9066.77555171264","9840.71681882485","10116.50710268","11020.3550498427","11005.3936910287","10636.2319239626","10757.3717468855","10299.9879289474","10582.4671114154","13133.8713934734","14935.1013270823","20316.1639869626","21582.334667861","24123.3766385168","24870.7898424612","25081.7768882728","26433.5411290183","25978.0629125927","26001.5652188543","27751.3358669362","27937.189370046","28694.8696884843","28294.0645726567","26118.5030928326","25824.3779829236","25501.2309756884","27292.0347075592","26718.3386108955","26132.9080357416","26376.4174788356","26074.6595626548","25767.1692483531","24321.4953367811","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250.922070191411","394.925537447954","658.498194383219","883.257048151252","1269.75105405257","1385.48227279049","1541.88637033546","1582.03909539423","1790.68772584136","2204.23190772085","2720.58929889108","2855.526728709","3213.97290455333","3831.18950938472","4713.48086546677","4336.35689528705","4124.34359698119","4430.36246157862","4093.10833614949","4441.65879397028","4526.93218411136","4005.35350554118","4225.78093290718","4574.191706802","5171.76137153089","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1440.12810153622","1379.59773279393","1263.33367602481","1173.39073393652","1244.06587838506","1184.36202594878","1294.08900876945","1029.53934460572","1089.20901072195","1067.13214622204","1271.70598971647","1570.36349495895","2042.35236985828","2683.47356301387","3291.79857852169","4021.92669178251","5406.56148673104","4522.65746826374","5034.33609792492","5402.75890112244","5738.78917576564","6478.0426524806","6822.50313748634","4825.8900123382","4066.13128099173","4685.23141605707","5153.08555830364","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1283.82409253713","1235.07596396625","1085.49887392594","1109.2089150731","1196.50641902437","1139.44362624631","1238.37628430926","1470.44765841022","1636.64034550386","1834.99549983833","2019.60265238148","2129.74295633778","2427.56844297935","2568.21646303366","2612.81897919854","2733.82246940641","2738.99595827808","2711.96660856499","2723.34447957182","2727.89721616119","2665.43128958037","2656.29981653104","2779.18120802496","2808.18464762001","2845.07545841012","2944.12544269515","3029.27679682976","2996.49843955084","2988.43835801941","3145.73130620754","2973.73357314483","3146.67860203018","3262.72719714734","3385.27758894647","3495.06398364551","3787.66700969579","3787.95220082657","3703.77112744173","3612.14827395081","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","468.175008405804","534.280764151843","599.278338438661","659.284075037839","633.704852718829","839.198429749576","775.076163696743","742.756218152914","845.214109877806","727.138631593018","523.772715220983","564.172832994133","583.626795698952","581.508760296406","591.042828379631","657.511738281413","688.026978655684","685.755353647459","705.038258977151","776.834030056232","838.899435278497","884.013953581485","941.780610993822","883.682690075625","857.149321975925","820.273395509856","777.722357482497","759.598699133966","783.31895789009","808.763440618568","924.019869413005","1038.1904123034","1345.2425280344","1415.49844684551","1543.19844627414","1783.39666888638","1946.60206161164","2151.59444576005","2312.04978793972","2412.0190681673","2494.17061669202","2616.66451602024","2731.20683014218","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","398.011793223889","452.810249885684","525.918890463898","690.223645027614","892.112671116487","1013.6014840683","1216.75559663446","1373.31660791933","1514.33479042941","1642.34409446648","1646.1926000639","1788.4062426454","1844.10287348409","1266.91089841884","1275.74928290504","1327.99384718898","1593.3219407313","1730.20147629796","1908.23261908422","2693.78352686903","2616.14383463972","3403.68797338603","2234.99792852728","2387.9588878471","2944.8972411138","4132.18366583103","4442.39486288706","4510.34395713293","4282.85082152603","2882.98833468853","3153.76916041645","2645.46445371149","2357.22596597665","2565.350266668","3016.67363122285","3967.94312521503","4889.84414913112","6098.59203763834","7268.31173381072","7271.82949898035","9340.5587479952","10982.9636097058","10298.3776264495","10403.6504426256","10190.0813571993","7483.81205063898","7393.75079691154","8414.84986840944","7480.59094154594","",
"Barbados","BRB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","4553.03431574625","4981.62683219085","5293.22696013812","5896.2101316817","6902.81174961243","6857.23587039323","6699.26751286002","6969.26942737359","7284.75503920179","7503.11737840074","7939.96898336773","8385.89777002644","9453.08523556951","9783.34498469871","10062.916921015","9972.88338089105","10073.1719677512","10309.0195168017","11012.9230100835","12071.3094529057","12648.0785811392","14306.178546953","14376.1284182795","13653.558635365","13980.0492463357","13634.5522339739","14008.1477976561","13873.9924810186","13827.4386982609","13704.6169479683","13446.8019574154","13871.1201244211","13986.3177108112","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9014.24071142887","9545.27480813738","10928.6587407403","12031.4265090622","11425.57257285","11119.4015904728","12443.1959208688","12938.909945164","12966.6354297901","10334.4867609627","10909.0110902765","12509.815645316","12115.8977956848","12953.1226695619","13932.0695120146","15781.1706301037","17804.9171941443","20754.7365826177","24068.2309774451","27605.0174101903","21474.432119057","26432.089458289","31804.9085048574","33558.3609172789","33616.5017944046","32010.4476278371","25932.9814585473","24154.5333309688","24614.2774106304","24304.3235018918","",
"Bhutan","BTN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","229.445942841761","236.611955385881","218.827378351045","233.607222754221","263.712516315913","266.331884860427","301.282278506946","389.015701933714","441.520523574238","443.204910225771","473.377836030819","376.34571615838","363.485078419402","349.499155335924","421.322951655305","438.377786753401","459.000221825455","542.46946956373","504.140449995962","530.390262669655","648.118830633695","694.665728061212","760.10396641017","851.980535775073","947.156333852165","1101.53503004253","1199.26583840139","1550.22528518614","1587.69611434642","1561.07281421902","1880.50152947697","2127.05483238299","2081.52916580283","2059.46648842892","2206.07253710516","2267.83000898641","2369.15993419402","2676.98077421099","2640.84180802604","",
