mobiles,prices,currency,new_used,web
ايفون 5s ذاكره ٦٤ جيجا,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
لينوفو,1999,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
IPhone 7 32G Gold with FaceTime,7500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون 5 اس 16 جيجا,850,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Lenovo k6 note بحالة الزيرو,1900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج A82018,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Cairo,4200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل لينوفو للبيع,1500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 7 plus 128G like New rose gold,9000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
محمود,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 7 plus 256g black,10800,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Oppo F5,3500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
أيفون 6 بلس ٤٥٠٠ ج لسرعة البيع,4500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
تليفون النوكيا المميز جدااااااااااا محتاج بطاريةفقط والبيع لعدم الحاجة,200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
بيع موبيل,1500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سونى xa ultra,2600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج j5 استعمال خفيف جدا,1350,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هواوي Y6 Pro,1400,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 6s plus,6000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Oppo f5,2700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
نوت ثري محتاج شاشة,700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Hawaii y7,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
لينوفو اصلي,150,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
باور بنك سامسونج 20000 الف,150,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Huawei Mate 20 - 128GB - 6GB ram - Black,12000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
من الاجهزة النادرة جدا من سامسونج a800 جهاز بالاضاءة الزرقاء الجميله,1000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
J6 plus Samsung,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومى 4a كسر زيرو مساحة 32 بدون خرابيش,1400,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سوني تي2,1100,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفرن 7 128 بسعر مميز جدا,6600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 6 16 giga,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
S7 edge,4900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
J7 core,2200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung Galaxy J7 Prime,2000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
جراند برايم بلاس بيع او بدل,150,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
نوكيا 6,2700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج Glaxy star 2,300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبيل Tecno w2,1000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج نوت 5 كسر زيرو 64 جيجا..,4200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
OppoA3S للبدال بايفوووون ٦,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone X 64 giga,13500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Lenovo A1000,500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Nokia 1 جديد متبرشم بالضمان,999,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون ٨ اسود جراى للبيع,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبيل نوت ٥,3000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبيل جديد بعلبته وضمانه بكاميرا وخطين وخاصيه تغير الاصوات وميموي,275,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج جلاكسي a7,2600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iPhone 7,5000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل نوكيا دمعه بحالة الزيرو ومعاه الجراب الشفاف الاصلي,600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هواي p8lite حالة كسر كسر الزيرو رامات 2 زاكراة 16 جيجا,1350,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون 5s,1300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
p9 lite رمات ٣ جيجا هواوي,1600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
انفنكس نوت4مساحه 32 رام 3,2200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
للبدل,1000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هاااااااااااااااااااااااااااااااااااام,3600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومي ريدمي 5,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
لينوفو VIBE P1 كسر زيرو ذهبي,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
اتنين ايفون فايف جي وفايف اس للبدل ب ايفون ٦,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون 7 بلس 128 جيجا زيرو 10000,10000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
جهاز Honor 8x زيرو لم يفتح إلا للتجربه Honor 8x Honor,4500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 5 32gb,1600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Note 9 sealed with level u gift,14500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Oppo a3s,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
