Allegiance,Alma mater,Awards,Born,Children,Citizenship,Died,Education,Father,Height,Nickname(s),Parents,Police encounter,Profession,Rank,Relations,Relatives,Residence,Resting place
 Pakistan,,,,,,,,,,,,,, Major General,,,,
 Pakistan,,,,,,,,,,,,,, Major General,,,,
,University of Engineering and Technology of Peshawar(BEng and MEng)University of Peshawar(BA and MA),,"Farhatullah BabarPeshawar, North-West Frontier Province (now-Khyber-Pakhtunkhwa, West-Pakistan (present-day Pakistan)",,,,,,,,,,Chemical Engineer,,,,"Islamabad, Islamabad Capital Territory",
,,,,Shahzada Muhammad Asif Khan,,"(1983-09-00)September , 1983Sum Elai-Mang, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
,,," (1982-05-29) 29 May 1982 (age 36)Kabul, Afghanistan",,,,,,,,,,,,,Bhutto family,"Karachi, Pakistan",
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
,,," (1982-05-29) 29 May 1982 (age 36)Kabul, Afghanistan",,,,,,,,,,,,,Bhutto family,"Karachi, Pakistan",
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,," (1951-03-24) 24 March 1951 (age 67)Rahimabad, Pakistan",,,,,,,,,,,,,,,
,Aligarh Muslim University,,"(1901-10-14)14 October 1901Aligarh, British Raj(now India)",,,"5 December 1978(1978-12-05) (aged 77)Peshawar, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"University of PeshawarChrist Church, OxfordUniversity of Southern California",," (1945-06-07) June 7, 1945 (age 73)Peshawar, North West Frontier Province, British India(now Khyber Pakhtunkhwa, Pakistan)",,,,,,,,,,,,"Salim, Humayun  (brothers)Ghulam Ishaq Khan(father-in-law)Omar Ayub Khan (son-in-law)",,,
,,,,,,,,,,,,,,,,Saifullah Khan family,,
,,,,,,,,,,,,,,,,,,
,,," (1928-07-08) 8 July 1928 (age 90)Kot Karam Khan, Punjab, British India(now in Punjab, Pakistan)",,,,,,,,,,,,Dost Muhammad Mazari (grandson)  Sherbaz Khan Mazari (brother),,,
,,," (1930-10-06) 6 October 1930 (age 88)Rojhan, British Raj(now Pakistan)",sherazam khan mazari* Sher Ali Khan Mazari * Shehryar khan Mazari*Murad khan Mazari*Sherafzal khan Mazari *Sher Koh Khan Mazari,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 Pakistan,,,,,,,,,,,,,,Major General,,,,
,,,"1825Kabul, Afghanistan",,,"21 February 1879 (age 53 or 54)Kabul, Afghanistan",,Dost Mohammed Khan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,1920,,,16 January 2000,,,,,,,,,,,,
,University of MumbaiInns of Court School of Law,,"(1923-06-12)12 June 1923Burhanpur, British Raj(now India)",,,"2 June 2017(2017-06-02) (aged 93)Karachi, Pakistan",,,,,,,,,,,,
,Karachi University(LLB and MSc)Sindh University(MSc),,"(1935-02-24)24 February 1935Sukkur, British India",,,"1 September 2015(2015-09-01) (aged 80)Reading, Berkshire, England, United Kingdom",,,,,,,,,,,,"Sukkur, Pakistan"
,,,,,,,,,,,,,,,,,,
,Liaquat University,," (1956-12-20) 20 December 1956 (age 62)Karachi, Sindh, Pakistan",Hasnain Mirza (son),,,,Qazi Abdul Majeed Abid,,,,,,,Zafar Hussain Mirza (father-in-law),,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1953-03-11) 11 March 1953 (age 65),,,,,,,,,,,,,,,
,,, (1966-08-26) 26 August 1966 (age 52)Lahore,,,,,,,,,,,,,,,
,,," (1945-04-20) 20 April 1945 (age 73)Karnal District, India",7[1],,,,,,,,,,,Phool Muhammad Khan (father)  Rana Muhammad Ishaq (cousin),,,
,,, (1961-04-10) 10 April 1961 (age 57)Sialkot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1950-01-01) January 1, 1950 (age 69)Faislabad, Pakistan",,,,,,,,,,,,Iftikhar Muhammad Chaudhry (cousin)[1],,,
,,,,,,,,,,,,,,,,,,
,"Aligarh Muslim UniversityGovt. College, Lahore.",,"15 March 1923Balyali Bhiwani, East Punjab, British India(Present-day Haryana, India)",,,"14 July 2012(2012-07-14) (aged 90)Lahore, Pakistan",,,,,,,,,Rao family,,,
,,, (1954-08-20) 20 August 1954 (age 64),,,,,,,,,,,,,,,
,,,"1943Quetta, Pakistan",Alma mater,,29 September 2010(2010-09-29) (aged 67)C.M.H Okara Cantt.,,,,,,,,,Rao family,,,
,,,,,,,,,,,,,,  Major-General,,,,
,,Tamgha-e-Imtiaz (Military)Sitara-e-BasalatSitara-e-Imtiaz (Military)Hilal-e-Imtiaz (Military)Nishan-e-Imtiaz (Military)Legion of Honor (By French Republic)The Legion of Merit (Degree of Commander) (By United States Of America)Medal of Merit Santos Dumont(By Federative Republic of Brazil)The Legion of Merit of Turkish Armed Forces (By Republic of Turkey)King Abdul Aziz Medal Class I (By Kingdom of Saudi Arabia),1954 (age 64–65)[1]Lahore.[1],,,,,,,,,,,,,,,
,"Govt. College  University(B.A. Arts, BBA)University of the Punjab(LLB)",,"Mian Muhammad Nawaz Sharif (1949-12-25) 25 December 1949 (age 69)Lahore, Pakistan",Maryam Hussain HassanAsma,,,,,,,,,,,,See Sharif family,,
,,,,,,,,,,,,,,,,,,
,"Convent of Jesus and Mary, LahoreUniversity of Punjab",,"Maryam Nawaz Sharif (1973-10-28) 28 October 1973 (age 45)[1]Lahore, Punjab, Pakistan[1]",3[2],,,,,,,Nawaz Sharif (father)Kalsoom Butt (mother),,,,,See Sharif family,,
,,,,,,,,,,,,,,,,,,
,Forman Christian CollegeNED University of Engineering and Technology,,,,,,,,,,,,,,,,,
,,,(1913-12-09)9 December 1913Ghotki,,,24 January 2005(2005-01-24) (aged 91)Daharki,,,,,Allah Bux Soomro (father),,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Royal Military Academy Sandhurst,," (1937-01-08) 8 January 1937 (age 81)Rehana, British Raj(now Pakistan)",,,,,,,,,,,,,,,
,,,,,,,,Gohar Ayub Khan,,,,,,,,Ayub Khan (grandfather)[1],,
,,,,,,,,,,,,,,,,,,
,"University of the Punjab (MBA), Forman Christian College University",,"Shaukat Tarin1953 (age 65–66)Multan, West Pakistan",,,,,,,,,,Banker,,,,"Islamabad,",
,,,,,,,,,,,,,,,,Omar Ayub Khan (cousin)[1],,
,,,"1930Nawabshah, British India",Asif Ali Zardari (son)  Faryal Talpur (daughter)  Azra Peechoho (daughter)  Fauzia Zardari,,"24 May 2011(2011-05-24) (aged 80–81)Islamabad, Pakistan",,,,,,,"Businessman, Agriculturist",,,,,"Nawabshah, Sindh, Pakistan"
,,," (1955-07-26) 26 July 1955 (age 63)Karachi, Sind, Pakistan","3, including Bilawal",,,,,,Mr. Ten Percent,Bilquis Sultana and Hakim Ali Zardari[2],,,,,See the Zardari family,,
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,," (1958-04-26) April 26, 1958 (age 60)",,,,,,,,Hakim Ali Zardari,,,,,Asif Zardari (brother)Benazir Bhutto (sister-in-law)Azra Peechoho (sister),,
,,,,,,,,,,,,,,,,,,
,, Hilal-i-Quaid-e-AzamSitara-e-PakistanTamgha-e-Quaid-e-Azam (1965),"Muzaffar Hassan1926:3[1]Multan, Punjab, British Indian EmpirePresent-day Pakistan",,British Subject (1926–1947)Pakistan (1947–1975,"1975 (aged 48–49)Karachi, Sindh, Pakistan",,,,,,,,,,,,
,,,,,,,,,,007[2]:509Admiral Ahsan,,,,  Vice-Admiral (S/No. PN.007),,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,University of Bombay(BA in Phil. and LLB),,"Ibrahim Ismail Chundrigar(1897-09-15)15 September 1897[1]Godhra, Gujarat, British India(Present-day, Panchmahal district in Gujarat in India)","2 sons, including Abdullah[2] and Abu Bakr,[2]", British India(1897–47) Pakistan(1947–60),"26 September 1960(1960-09-26) (aged 63)Royal Northern Hospital in London, United Kingdom[2]",,,,,,,"Lawyer, diplomat",,,,,"Karachi, Sindh, Pakistan"
,,,,,,,Rawalpindi Medical College (MBBS)University of Warwick (LL.M.)WTO law from Brussels,,,,,,,,,,,
 Pakistan,,Sitara-i-Imtiaz (military),,,,,,,,,,,, Vice-Admiral,,,,
,,,,,,,,,,,,,,,,,,
,,Nishan-e-Imtiaz (military)Hilal-e-Imtiaz (military)Order of King AbdulazizLegion of Honour,,,,,,,,,,,,General,,,,
,"Govt. College University(B.A. in Phil.)Punjab University(LLB, MSc in Poly Sci.)",,"Raja Muhammad Zafar-ul-Haq (1935-11-18) 18 November 1935 (age 83)Matore, Punjab, British India(now in Punjab, Pakistan)",R. Muhammad Ali(son), Pakistan,,,,,,,,"Lawyer, diplomat",,,,,
