Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country
jm vince,2015-2019,10,8,0,225,51,28.12,248,90.72,0,1,0,2015-2019,10,-,-,-,-,-,-,-,-,-,-,ENG
ras lakmal,2009-2019,82,45,20,217,26,8.68,371,58.49,0,0,9,2009-2019,82,80,3728,3376,107,4/13,31.55,5.43,34.8,3,0,SL
k rabada,2015-2019,66,24,10,201,26,14.35,263,76.42,0,0,2,2015-2019,66,65,3374,2802,106,6/16,26.43,4.98,31.8,6,1,SA
mj henry,2014-2019,43,16,6,193,48*,19.30,186,103.76,0,0,3,2014-2019,43,41,2221,2045,78,5/30,26.21,5.52,28.4,6,2,NZ
pj cummins,2011-2019,48,27,11,183,36,11.43,260,70.38,0,0,4,2011-2019,48,48,2516,2176,82,5/70,26.53,5.18,30.6,5,1,AUS
hazratullah zazai,2018-2019,8,8,0,183,67,22.87,197,92.89,0,1,0,2018-2019,8,-,-,-,-,-,-,-,-,-,-,AFG
mohammad saifuddin,2017-2019,13,7,1,175,50,29.16,250,70.00,0,1,0,2017-2019,13,13,564,492,11,3/45,44.72,5.23,51.2,0,0,BDESH
v shankar,2019-2019,9,5,0,165,46,33.00,171,96.49,0,0,0,2019-2019,9,8,201,188,2,2/15,94.00,5.61,100.5,0,0,INDIA
nm coulter-nile,2013-2019,27,18,6,154,34,12.83,190,81.05,0,0,2,2013-2019,27,27,1396,1275,48,4/48,26.56,5.47,29.0,1,0,AUS
imran tahir,2011-2019,98,32,14,146,29,8.11,209,69.85,0,0,4,2011-2019,98,96,5085,3923,162,7/45,24.21,4.62,31.3,6,3,SA
wia fernando,2016-2019,6,6,0,145,74,24.16,157,92.35,0,1,1,2016-2019,6,-,-,-,-,-,-,-,-,-,-,SL
ta boult,2012-2019,79,35,20,144,21*,9.60,190,75.78,0,0,1,2012-2019,79,79,4290,3632,147,7/34,24.70,5.07,29.1,5,5,NZ
d pretorius,2016-2019,19,8,1,132,50,18.85,139,94.96,0,1,1,2016-2019,19,19,884,719,24,3/5,29.95,4.88,36.8,0,0,SA
mohammed shami,2013-2019,63,29,14,131,25,8.73,152,86.18,0,0,4,2013-2019,63,62,3231,2951,113,4/35,26.11,5.48,28.5,6,0,INDIA
i udana,2012-2019,6,4,1,125,78,41.66,102,122.54,0,1,0,2012-2019,6,6,216,217,3,2/50,72.33,6.02,72.0,0,0,SL
rubel hossain,2009-2019,97,49,23,123,17,4.73,226,54.42,0,0,11,2009-2019,97,95,4330,4060,123,6/26,33.00,5.62,35.2,7,1,BDESH
kuldeep yadav,2017-2019,44,18,10,100,19,12.50,171,58.47,0,0,1,2017-2019,44,42,2298,1892,87,6/25,21.74,4.93,26.4,4,1,INDIA
a zampa,2016-2019,44,18,4,99,22,7.07,156,63.46,0,0,3,2016-2019,44,44,2282,2127,60,4/43,35.45,5.59,38.0,1,0,AUS
rr pant,2018-2019,5,4,0,93,36,23.25,71,130.98,0,0,0,2018-2019,5,-,-,-,-,-,-,-,-,-,-,INDIA
hamid hassan,2009-2019,33,17,4,92,17,7.07,171,53.80,0,0,3,2009-2019,33,32,1578,1208,58,5/45,20.82,4.59,27.2,2,1,AFG
nm lyon,2012-2019,25,11,8,69,30,23.00,73,94.52,0,0,1,2012-2019,25,25,1422,1153,26,4/44,44.34,4.86,54.6,1,0,AUS
aftab alam,2010-2019,24,14,9,66,16*,13.20,95,69.47,0,0,2,2010-2019,24,24,1136,918,37,4/25,24.81,4.84,30.7,1,0,AFG
is sodhi,2015-2019,30,12,2,62,24,6.20,84,73.80,0,0,4,2015-2019,30,29,1512,1395,39,4/58,35.76,5.53,38.7,1,0,NZ
lh ferguson,2016-2019,27,13,6,58,19,8.28,119,48.73,0,0,3,2016-2019,27,27,1400,1310,46,5/45,28.47,5.61,30.4,1,1,NZ
mustafizur rahman,2015-2019,46,21,15,57,18*,9.50,113,50.44,0,0,2,2015-2019,46,45,2272,1849,83,6/43,22.27,4.88,27.3,3,3,BDESH
kw richardson,2013-2019,20,9,4,50,19,10.00,55,90.90,0,0,2,2013-2019,20,20,1037,952,29,5/68,32.82,5.50,35.7,0,1,AUS
ma wood,2015-2019,41,13,8,45,13,9.00,51,88.23,0,0,1,2015-2019,41,40,2047,1922,43,4/33,44.69,5.63,47.6,2,0,ENG
mujeeb ur rahman,2017-2019,30,13,6,41,15,5.85,47,87.23,0,0,4,2017-2019,30,29,1626,1021,51,5/50,20.01,3.76,31.8,2,1,AFG
shaheen shah afridi,2018-2019,14,6,4,41,19*,20.50,58,70.68,0,0,1,2018-2019,14,13,641,613,24,4/38,25.54,5.73,26.7,3,0,PAK
l ngidi,2018-2019,18,7,5,40,19*,20.00,55,72.72,0,0,0,2018-2019,18,18,828,736,34,4/51,21.64,5.33,24.3,2,0,SA
ys chahal,2016-2019,41,7,3,34,18*,8.50,67,50.74,0,0,1,2016-2019,41,40,2173,1772,72,6/42,24.61,4.89,30.1,1,2,INDIA
fa allen,2018-2019,7,6,1,32,10,6.40,61,52.45,0,0,0,2018-2019,7,7,198,198,1,1/37,198.00,6.00,198.0,0,0,WI
n pradeep,2012-2019,35,15,10,27,7,5.40,63,42.85,0,0,2,2012-2019,35,33,1598,1625,42,4/34,38.69,6.10,38.0,1,0,SL
ss cottrell,2015-2019,14,7,5,26,8*,13.00,35,74.28,0,0,0,2015-2019,14,13,582,587,17,5/46,34.52,6.05,34.2,0,1,WI
st gabriel,2016-2019,22,14,8,21,12*,3.50,53,39.62,0,0,3,2016-2019,22,22,1025,961,31,3/17,31.00,5.62,33.0,0,0,WI
jj bumrah,2016-2019,49,10,5,18,10*,3.60,42,42.85,0,0,4,2016-2019,49,49,2505,1883,85,5/27,22.15,4.51,29.4,4,1,INDIA
jp behrendorff,2019-2019,6,2,2,7,6*,-,4,175.00,0,0,0,2019-2019,6,6,326,290,7,3/63,41.42,5.33,46.5,0,0,AUS
ikram alikhil,2019-2019,2,2,1,6,5*,6.00,13,46.15,0,0,0,2019-2019,2,-,-,-,-,-,-,-,-,-,-,AFG
be hendricks,2019-2019,2,1,1,2,2*,-,8,25.00,0,0,0,2019-2019,2,2,96,81,1,1/50,81.00,5.06,96.0,0,0,SA
n pooran,2019-2019,1,1,0,0,0,0.00,4,0.00,0,0,1,2019-2019,1,-,-,-,-,-,-,-,-,-,-,WI
cak rajitha,2018-2019,6,2,1,0,0*,0.00,10,0.00,0,0,1,2018-2019,6,6,215,239,5,1/21,47.80,6.66,43.0,0,0,SL
t shamsi,2016-2019,15,3,2,0,0*,0.00,2,0.00,0,0,1,2016-2019,15,15,771,682,19,4/33,35.89,5.30,40.5,1,0,SA
o thomas,2018-2019,9,3,1,0,0*,0.00,5,0.00,0,0,2,2018-2019,9,8,343,413,15,5/21,27.53,7.22,22.8,0,1,WI
jc archer,2019-2019,3,-,-,-,-,-,-,-,-,-,-,2019-2019,3,3,132,108,3,1/6,36.00,4.90,44.0,0,0,ENG
sayed shirzad,2019-2019,1,-,-,-,-,-,-,-,-,-,-,2019-2019,1,-,-,-,-,-,-,-,-,-,-,AFG
