,Name,Country,Type_B&F,Mat_B&F,Inns_B&F,NO_B&F,Runs_B&F,HS_B&F,Ave_B&F,BF_B&F,SR_B&F,100_B&F,50_B&F,4s_B&F,6s_B&F,Ct_B&F,St_B&F,Mat_Bowl,Inns_Bowl,Balls_Bowl,Runs_Bowl,Wkts_Bowl,BBI_Bowl,BBM_Bowl,Ave_Bowl,Econ_Bowl,SR_Bowl,4w_Bowl,5w_Bowl,10_Bowl
1,Hashmatullah Shahidi RSS Feed,afghanistan,ODIs,39,39,6,1062,97*,32.18,1667,63.7,0,9,90,3,9,0,39,2,18,25,0,-,-,-,8.33,-,0,0,0
0,Dawlat Zadran RSS Feed,afghanistan,ODIs,82,56,27,513,47*,17.68,664,77.25,0,0,40,21,16,0,82,80,3769,3423,115,4/22,4/22,29.76,5.44,32.7,3,0,0
1,Ihsanullah RSS Feed,afghanistan,ODIs,16,16,2,307,57*,21.92,440,69.77,0,3,38,6,10,0,16,-,-,-,-,-,-,-,-,-,-,-,-
1,Mujeeb Ur Rahman RSS Feed,afghanistan,ODIs,37,19,9,69,15,6.90,76,90.78,0,0,8,2,6,0,37,36,1973,1280,58,5/50,5/50,22.06,3.89,34.0,2,1,0
0,Sharafuddin Ashraf RSS Feed,afghanistan,ODIs,15,9,3,53,21,8.83,84,63.09,0,0,2,2,2,0,15,15,650,465,11,3/29,3/29,42.27,4.29,59.0,0,0,0
0,Hazratullah Zazai RSS Feed,afghanistan,ODIs,13,13,0,279,67,21.46,299,93.31,0,1,29,13,3,0,13,-,-,-,-,-,-,-,-,-,-,-,-
1,Yamin Ahmadzai RSS Feed,afghanistan,ODIs,3,2,1,3,3*,3.00,19,15.78,0,0,0,0,2,0,3,3,108,90,2,1/23,1/23,45.0,5.0,54.0,0,0,0
0,Sayed Shirzad RSS Feed,afghanistan,ODIs,2,1,0,25,25,25.0,17,147.05,0,0,2,2,0,0,2,1,48,56,1,1/56,1/56,56.0,7.0,48.0,0,0,0
0,Najeeb Tarakai RSS Feed,afghanistan,ODIs,1,1,0,5,5,5.0,18,27.77,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
0,Shafiqullah RSS Feed,afghanistan,ODIs,24,21,2,430,56,22.63,408,105.39,0,2,27,24,11,3,24,-,-,-,-,-,-,-,-,-,-,-,-
0,Usman Ghani RSS Feed,afghanistan,ODIs,15,15,0,411,118,27.4,520,79.03,1,2,37,10,3,0,15,2,38,34,1,1/21,1/21,34.00,5.36,38.0,0,0,0
1,Rashid Khan RSS Feed,afghanistan,ODIs,68,53,9,903,60*,20.52,892,101.23,0,4,81,28,21,0,68,64,3378,2333,131,7/18,7/18,17.8,4.14,25.7,4,4,0
0,Fareed Ahmad RSS Feed,afghanistan,ODIs,5,2,2,1,1*,-,6,16.66,0,0,0,0,2,0,5,4,150,143,5,3/65,3/65,28.6,5.72,30.0,0,0,0
1,Rahmat Shah RSS Feed,afghanistan,ODIs,70,66,2,2255,114,35.23,3215,70.13,4,15,195,24,19,0,70,26,524,504,14,5/32,5/32,36.00,5.77,37.4,0,1,0
0,Shapoor Zadran RSS Feed,afghanistan,ODIs,44,27,17,67,17,6.7,160,41.87,0,0,5,3,5,0,44,44,1983,1589,43,4/24,4/24,36.95,4.8,46.1,2,0,0
1,Mohammad Shahzad RSS Feed,afghanistan,ODIs,84,84,3,2727,131*,33.66,3082,88.48,6,14,323,55,64,25,84,-,-,-,-,-,-,-,-,-,-,-,-
0,Billy Stanlake RSS Feed,australia,ODIs,7,5,2,4,2,1.33,28,14.28,0,0,0,0,1,0,7,7,354,324,7,3/35,3/35,46.28,5.49,50.5,0,0,0
