,Name,Country,Type_B&F,Mat_B&F,Inns_B&F,NO_B&F,Runs_B&F,HS_B&F,Ave_B&F,BF_B&F,SR_B&F,100_B&F,50_B&F,4s_B&F,6s_B&F,Ct_B&F,St_B&F,Mat_Bowl,Inns_Bowl,Balls_Bowl,Runs_Bowl,Wkts_Bowl,BBI_Bowl,BBM_Bowl,Ave_Bowl,Econ_Bowl,SR_Bowl,4w_Bowl,5w_Bowl,10_Bowl
0,Lockie Ferguson RSS Feed,newzealand,ODIs,36,15,7,62,19,7.75,125,49.6,0,0,3,1,10,0,36,36,1902,1719,67,5/45,5/45,25.65,5.42,28.3,2,1,0
1,Tom Latham RSS Feed,newzealand,ODIs,95,88,9,2550,137,32.27,3096,82.36,4,15,213,34,79,7,95,-,-,-,-,-,-,-,-,-,-,-,-
1,Martin Guptill RSS Feed,newzealand,ODIs,179,176,19,6626,237*,42.2,7586,87.34,16,35,678,168,90,0,179,11,109,98,4,2/6,2/6,24.50,5.39,27.2,0,0,0
1,BJ Watling RSS Feed,newzealand,ODIs,28,25,2,573,96*,24.91,838,68.37,0,5,58.0,3.0,20,0,28,-,-,-,-,-,-,-,-,-,-,-,-
1,Doug Bracewell RSS Feed,newzealand,ODIs,19,12,2,158,57,15.8,214,73.83,0,1,11,3,3,0,19,19,932,798,23,4/55,4/55,34.69,5.13,40.5,1,0,0
1,Ish Sodhi RSS Feed,newzealand,ODIs,31,13,2,67,24,6.09,88,76.13,0,0,3,4,7,0,31,30,1548,1430,39,4/58,4/58,36.66,5.54,39.6,1,0,0
1,Todd Astle RSS Feed,newzealand,ODIs,9,5,2,79,49,26.33,77,102.59,0,0,5,2,2,0,9,8,270,246,10,3/33,3/33,24.60,5.46,27.0,0,0,0
0,Seth Rance RSS Feed,newzealand,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,3,0,2,2,105,110,1,1/44,1/44,110.0,6.28,105.0,0,0,0
0,Tim Seifert RSS Feed,newzealand,ODIs,3,2,0,33,22,16.5,27,122.22,0,0,2,1,7,1,3,-,-,-,-,-,-,-,-,-,-,-,-
0,Scott Kuggeleijn RSS Feed,newzealand,ODIs,2,1,1,11,11*,-,6,183.33,0,0,1,0,0,0,2,2,84,58,5,3/41,3/41,11.6,4.14,16.8,0,0,0
0,Mark Chapman RSS Feed,newzealand,ODIs,5,5,1,160,124*,40.0,174,91.95,1,0,12,3,1,0,5,-,-,-,-,-,-,-,-,-,-,-,-
1,Ross Taylor RSS Feed,newzealand,ODIs,228,212,37,8376,181*,47.86,10091.0,83.0,20,50,694.0,140.0,137,0,228,4,42,35,0,-,-,-,5.00,-,0,0,0
1,Kane Williamson RSS Feed,newzealand,ODIs,149,142,14,6132,148,47.9,7494,81.82,13,39,559,49,60,0,149,65,1467,1310,37,4/22,4/22,35.4,5.35,39.6,1,0,0
1,James Neesham RSS Feed,newzealand,ODIs,59,50,10,1247,97*,31.17,1260,98.96,0,6,113,28,23,0,59,55,1772,1814,59,5/31,5/31,30.74,6.14,30.0,2,1,0
1,Mitchell Santner RSS Feed,newzealand,ODIs,69,54,21,898,67,27.21,1021,87.95,0,2,62,26,25,0,69,64,3079,2510,69,5/50,5/50,36.37,4.89,44.6,0,1,0
1,Mohammad Hafeez RSS Feed,pakistan,ODIs,218,216,15,6614,140*,32.9,8633.0,76.61,11,38,664.0,110.0,85,0,218,177.0,7733,5400,139,4/41,4/41,38.84,4.18,55.6,1.0,0,0
1,Sarfaraz Ahmed RSS Feed,pakistan,ODIs,114,88,22,2271,105,34.4,2577.0,88.12,2,11,171.0,12.0,112,24,114,1,12,15,0,-,-,-,7.50,-,0,0,0
1,Bilal Asif RSS Feed,pakistan,ODIs,3,3,0,40,38,13.33,49,81.63,0,0,6,1,2,0,3,3,132,96,5,5/25,5/25,19.2,4.36,26.4,0,1,0
1,Shaheen Afridi RSS Feed,pakistan,ODIs,19,8,6,42,19*,21.00,64,65.62,0,0,2,2,2,0,19,18,924,847,40,6/35,6/35,21.17,5.5,23.1,4,1,0
1,Shoaib Malik RSS Feed,pakistan,ODIs,287,258,40,7534,143,34.55,9199.0,81.9,9,44,603.0,113.0,98,0,287,217.0,7958,6192,158,4/19,4/19,39.18,4.66,50.3,1.0,0,0
0,Imad Wasim RSS Feed,pakistan,ODIs,52,38,16,940,63*,42.72,860.0,109.3,0,5,88.0,17.0,11,0,52,50,2271,1827,41,5/14,5/14,44.56,4.82,55.3,0,1,0
1,Fakhar Zaman RSS Feed,pakistan,ODIs,44,44,4,1828,210*,45.7,1900,96.21,4,11,215,30,19,0,44,7,135,111,1,1/19,1/19,111.00,4.93,135.0,0,0,0
1,Wahab Riaz RSS Feed,pakistan,ODIs,87,62,14,677,54*,14.1,784.0,86.35,0,2,51.0,27.0,27,0,87,86.0,4095,3903,113,5/46,5/46,34.53,5.71,36.2,4,1,0
1,Shadab Khan RSS Feed,pakistan,ODIs,41,22,9,337,54,25.92,491,68.63,0,3,20,4,8,0,41,39,1975,1624,56,4/28,4/28,29.0,4.93,35.2,3,0,0
0,Saad Ali RSS Feed,pakistan,ODIs,2,2,0,11,7,5.5,23,47.82,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-
1,Haris Sohail RSS Feed,pakistan,ODIs,39,38,5,1518,130,46.0,1797,84.47,2,12,125,23,15,0,39,21,642,613,11,3/45,3/45,55.72,5.72,58.3,0,0,0
0,Abid Ali RSS Feed,pakistan,ODIs,3,3,0,117,112,39.0,129,90.69,1,0,10.0,0.0,3,0,3,-,-,-,-,-,-,-,-,-,-,-,-
1,Umar Akmal RSS Feed,pakistan,ODIs,121,110,17,3194,102*,34.34,3712,86.04,2,20,268,53,77,13,121,-,-,-,-,-,-,-,-,-,-,-,-
1,Asad Shafiq RSS Feed,pakistan,ODIs,60,58,4,1336,84,24.74,1979,67.5,0,9,108,5,14,0,60,2,12,18,0,-,-,-,9.00,-,0,0,0
1,Junaid Khan RSS Feed,pakistan,ODIs,76,31,17,68,25,4.85,127.0,53.54,0,0,4.0,1.0,8,0,76,76,3601,3216,110,4/12,4/12,29.23,5.35,32.7,4,0,0
1,Imam-ul-Haq RSS Feed,pakistan,ODIs,36,36,5,1692,151,54.58,2100,80.57,7,6,134,15,7,0,36,-,-,-,-,-,-,-,-,-,-,-,-
1,Mohammad Abbas RSS Feed,pakistan,ODIs,3,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,162,153,1,1/44,1/44,153.0,5.66,162.0,0,0,0
1,Babar Azam RSS Feed,pakistan,ODIs,72,70,10,3213,125*,53.55,3726,86.23,10,15,279,27,36,0,72,-,-,-,-,-,-,-,-,-,-,-,-
1,Mohammad Amir RSS Feed,pakistan,ODIs,59,30,10,363,73*,18.15,444,81.75,0,2,32,8,8,0,59,58,2911,2329,77,5/30,5/30,30.24,4.8,37.8,1,1,0
0,Usman Shinwari RSS Feed,pakistan,ODIs,15,4,1,6,6,2.00,7,85.71,0,0,0,1,3,0,15,15,660,541,28,5/34,5/34,19.32,4.91,23.5,3,1,0
0,Asif Ali RSS Feed,pakistan,ODIs,18,14,1,361,52,27.76,280,128.92,0,3,20,21,5,0,18,1,5,9,0,-,-,-,10.80,-,0,0,0
1,Shan Masood RSS Feed,pakistan,ODIs,5,5,0,111,50,22.2,145,76.55,0,1,12,0,1,0,5,-,-,-,-,-,-,-,-,-,-,-,-
1,Hasan Ali RSS Feed,pakistan,ODIs,53,29,9,280,59,14.0,247,113.36,0,2,18,17,12,0,53,51,2548,2381,82,5/34,5/34,29.03,5.6,31.0,1,3,0
1,Azhar Ali RSS Feed,pakistan,ODIs,53,53,3,1845,102,36.9,2478.0,74.45,3,12,168.0,14.0,8,0,53,14.0,258,260,4,2/26,2/26,65.0,6.04,64.5,0,0,0
1,Mohammad Rizwan RSS Feed,pakistan,ODIs,32,28,7,705,115,33.57,787,89.58,2,3,61,6,29,1,32,-,-,-,-,-,-,-,-,-,-,-,-
1,Faheem Ashraf RSS Feed,pakistan,ODIs,23,15,2,162,28,12.46,195,83.07,0,0,13,6,5,0,23,22,902,744,20,5/22,5/22,37.2,4.94,45.1,0,1,0
0,Hussain Talat RSS Feed,pakistan,ODIs,1,1,0,2,2,2.0,14,14.28,0,0,0,0,0,0,1,1,12,16,0,-,-,-,8.0,-,0,0,0
1,Yasir Shah RSS Feed,pakistan,ODIs,25,13,6,127,32*,18.14,149.0,85.23,0,0,9.0,1.0,6,0,25,24.0,1293,1150,24,6/26,6/26,47.91,5.33,53.8,1,1,0
0,Mohammad Hasnain RSS Feed,pakistan,ODIs,5,2,0,28,28,14.00,18,155.55,0,0,4,1,1,0,5,5,246,303,5,2/52,2/52,60.60,7.39,49.2,0,0,0
1,Imran Tahir RSS Feed,southafrica,ODIs,107,36,16,157,29,7.85,225.0,69.77,0,0,21.0,1.0,25,0,107,104.0,5541,4297,173,7/45,7/45,24.83,4.65,32.0,7.0,3,0
1,Tabraiz Shamsi RSS Feed,southafrica,ODIs,17,3,2,0,0*,0.0,2,0.0,0,0,0,0,5,0,17,17,879,798,19,4/33,4/33,42.0,5.44,46.2,1,0,0
0,Reeza Hendricks RSS Feed,southafrica,ODIs,18,18,1,455,102,26.76,591,76.98,1,2,43,5,11,0,18,3,42,47,1,1/13,1/13,47.00,6.71,42.0,0,0,0
1,Dean Elgar RSS Feed,southafrica,ODIs,8,7,1,104,42,17.33,177,58.75,0,0,6,0,4,0,8,4,96,67,2,1/11,1/11,33.5,4.18,48.0,0,0,0
0,Dwaine Pretorius RSS Feed,southafrica,ODIs,22,10,1,135,50,15.00,145,93.1,0,1,9,4,6,0,22,22,1022,813,29,3/5,3/5,28.03,4.77,35.2,0,0,0
1,Jean-Paul Duminy RSS Feed,southafrica,ODIs,199,179,40,5117,150*,36.81,6052,84.55,4,27,347.0,75.0,82,0,199,135.0,3513,3143,69,4/16,4/16,45.55,5.36,50.9,1,0,0
0,Anrich Nortje RSS Feed,southafrica,ODIs,4,1,0,8,8,8.0,18,44.44,0,0,0,0,2,0,4,4,189,150,8,3/57,3/57,18.75,4.76,23.6,0,0,0
1,Hashim Amla RSS Feed,southafrica,ODIs,181,178,14,8113,159,49.46,9178.0,88.39,27,39,822.0,53.0,87,0,181,-,-,-,-,-,-,-,-,-,-,-,-
1,Kagiso Rabada RSS Feed,southafrica,ODIs,75,28,12,259,31*,16.18,333,77.77,0,0,20,5,22,0,75,73,3842,3199,117,6/16,6/16,27.34,4.99,32.8,6,1,0
0,David Miller RSS Feed,southafrica,ODIs,126,110,31,3058,139,38.7,3054,100.13,5,12,227,83,59,0,126,-,-,-,-,-,-,-,-,-,-,-,-
1,Vernon Philander RSS Feed,southafrica,ODIs,30,19,7,151,30*,12.58,213,70.89,0,0,14.0,0.0,6,0,30,28.0,1279,986,41,4/12,4/12,24.04,4.62,31.1,2,0,0
1,Temba Bavuma RSS Feed,southafrica,ODIs,2,2,0,161,113,80.5,170,94.7,1,0,18,1,1,0,2,-,-,-,-,-,-,-,-,-,-,-,-
1,Keshav Maharaj RSS Feed,southafrica,ODIs,4,2,0,25,17,12.5,26,96.15,0,0,4,0,0,0,4,4,187,166,6,3/25,3/25,27.66,5.32,31.1,0,0,0
1,Chris Morris RSS Feed,southafrica,ODIs,42,27,4,467,62,20.3,465,100.43,0,1,36,15,9,0,42,40,1894,1756,48,4/31,4/31,36.58,5.56,39.4,2,0,0
1,Duanne Olivier RSS Feed,southafrica,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,114,124,3,2/73,2/73,41.33,6.52,38.0,0,0,0
1,Lungi Ngidi RSS Feed,southafrica,ODIs,22,9,6,47,19*,15.66,66,71.21,0,0,4,2,6,0,22,22,1026,947,41,4/51,4/51,23.09,5.53,25.0,2,0,0
0,Rassie van der Dussen RSS Feed,southafrica,ODIs,18,14,5,664,95,73.77,811,81.87,0,7,37,16,9,0,18,-,-,-,-,-,-,-,-,-,-,-,-
0,Heinrich Klaasen RSS Feed,southafrica,ODIs,14,13,2,251,59,22.81,291,86.25,0,1,26,6,16,3,14,-,-,-,-,-,-,-,-,-,-,-,-
0,Beuran Hendricks RSS Feed,southafrica,ODIs,4,1,1,2,2*,-,8,25.0,0,0,0,0,1,0,4,3,126,106,1,1/50,1/50,106.0,5.04,126.0,0,0,0
1,Dale Steyn RSS Feed,southafrica,ODIs,125,51,12,365,60,9.35,562,64.94,0,1,35.0,9.0,28,0,125,124.0,6256,5087,196,6/39,6/39,25.95,4.87,31.9,4,3,0
1,Faf du Plessis RSS Feed,southafrica,ODIs,143,136,20,5507,185,47.47,6215.0,88.6,12,35,495.0,66.0,81,0,143,11.0,192,189,2,1/8,1/8,94.50,5.9,96.0,0,0,0
1,Andile Phehlukwayo RSS Feed,southafrica,ODIs,52,32,15,549,69*,32.29,610,90.0,0,1,54,19,11,0,52,50,2077,1936,65,4/22,4/22,29.78,5.59,31.9,3,0,0
1,Quinton de Kock RSS Feed,southafrica,ODIs,115,115,6,4907,178,45.01,5154,95.2,14,24,571,69,158,8,115,-,-,-,-,-,-,-,-,-,-,-,-
0,Junior Dala RSS Feed,southafrica,ODIs,2,2,1,8,5,8.0,6,133.33,0,0,1,0,1,0,2,2,102,121,1,1/57,1/57,121.0,7.11,102.0,0,0,0
1,Aiden Markram RSS Feed,southafrica,ODIs,26,24,1,643,67*,27.95,755,85.16,0,2,76,10,12,0,26,6,120,132,3,2/18,2/18,44.00,6.60,40.0,0,0,0
1,Wiaan Mulder RSS Feed,southafrica,ODIs,10,8,3,74,19*,14.8,89,83.14,0,0,11,0,4,0,10,10,318,308,8,2/59,2/59,38.5,5.81,39.7,0,0,0
1,Dhananjaya de Silva RSS Feed,srilanka,ODIs,40,38,7,796,84,25.67,1061,75.02,0,4,78,8,19,0,40,33,908,811,20,3/32,3/32,40.55,5.35,45.4,0,0,0
1,Lasith Malinga RSS Feed,srilanka,ODIs,225,118,35,561,56,6.75,755.0,74.3,0,1,45.0,21.0,31,0,225,219.0,10878,9722,335,6/38,6/38,29.02,5.36,32.4,11,8,0
1,Kasun Rajitha RSS Feed,srilanka,ODIs,8,2,1,0,0*,0.0,10,0.0,0,0,0,0,1,0,8,8,323,362,7,1/21,1/21,51.71,6.72,46.1,0,0,0
0,Priyamal Perera RSS Feed,srilanka,ODIs,2,2,0,33,33,16.5,58,56.89,0,0,2,0,1,0,2,-,-,-,-,-,-,-,-,-,-,-,-
1,Akila Dananjaya RSS Feed,srilanka,ODIs,34,26,5,283,50*,13.47,410,69.02,0,1,24,3,14,0,34,32,1653,1423,48,6/29,6/29,29.64,5.16,34.4,2,2,0
1,Lahiru Thirimanne RSS Feed,srilanka,ODIs,123,103,14,3133,139*,35.2,4333,72.3,4,21,241,25,38,0,123,4,104,94,3,2/36,2/36,31.33,5.42,34.6,0,0,0
1,Kusal Perera RSS Feed,srilanka,ODIs,95,90,5,2556,135,30.07,2761,92.57,4,14,278,48,40,2,95,-,-,-,-,-,-,-,-,-,-,-,-
0,Jeevan Mendis RSS Feed,srilanka,ODIs,58,44,10,636,72,18.7,769.0,82.7,0,1,48.0,13.0,13,0,58,49.0,1404,1204,28,3/15,3/15,43.0,5.14,50.1,0.0,0,0
1,Thisara Perera RSS Feed,srilanka,ODIs,160,127,16,2208,140,19.89,1976,111.74,1,10,165,83,60,0,160,151,5675,5520,171,6/44,6/44,32.28,5.83,33.1,5,4,0
1,Vishwa Fernando RSS Feed,srilanka,ODIs,8,8,6,30,7*,15.0,61,49.18,0,0,3,0,0,0,8,8,297,337,5,1/35,1/35,67.40,6.8,59.4,0,0,0
1,Nuwan Pradeep RSS Feed,srilanka,ODIs,38,18,11,28,7,4.0,75,37.33,0,0,2,1,6,0,38,36,1772,1782,47,4/31,4/31,37.91,6.03,37.7,2,0,0
1,Oshada Fernando RSS Feed,srilanka,ODIs,5,5,0,127,49,25.4,189,67.19,0,0,15,2,0,0,5,1,12,16,0,-,-,-,8.00,-,0,0,0
0,Avishka Fernando RSS Feed,srilanka,ODIs,10,10,0,348,104,34.8,349,99.71,1,1,40,8,4,0,10,-,-,-,-,-,-,-,-,-,-,-,-
1,Dinesh Chandimal RSS Feed,srilanka,ODIs,146,132,21,3599,111,32.42,4855,74.12,4,22,245,39,59,7,146,-,-,-,-,-,-,-,-,-,-,-,-
1,Upul Tharanga RSS Feed,srilanka,ODIs,235,223,17,6951,174*,33.74,9155.0,75.92,15,37,798.0,52.0,50,0,235,-,-,-,-,-,-,-,-,-,-,-,-
0,Jeffrey Vandersay RSS Feed,srilanka,ODIs,12,7,1,71,25,11.83,166,42.77,0,0,3,0,2,0,12,11,491,480,11,3/50,3/50,43.63,5.86,44.6,0,0,0
0,Angelo Perera RSS Feed,srilanka,ODIs,5,3,0,39,31,13.0,58,67.24,0,0,3,0,1,0,5,3,36,33,0,-,-,-,5.5,-,0,0,0
1,Angelo Mathews RSS Feed,srilanka,ODIs,211,181,47,5625,139*,41.97,6775,83.02,3,38,441.0,88.0,52,0,211,155.0,5083,3907,115,6/20,6/20,33.97,4.61,44.2,1,1,0
1,Dilruwan Perera RSS Feed,srilanka,ODIs,13,12,0,152,30,12.66,199.0,76.38,0,0,13.0,3.0,2,0,13,10.0,456,409,13,3/48,3/48,31.46,5.38,35.0,0.0,0,0
0,Isuru Udana RSS Feed,srilanka,ODIs,13,11,2,170,78,18.88,177,96.04,0,1,13,8,3,0,13,13,525,513,9,2/41,2/41,57.0,5.86,58.3,0,0,0
1,Suranga Lakmal RSS Feed,srilanka,ODIs,85,48,22,244,26,9.38,404,60.39,0,0,18,3,19,0,85,83,3824,3478,107,4/13,4/13,32.5,5.45,35.7,3,0,0
1,Kusal Mendis RSS Feed,srilanka,ODIs,70,68,2,1835,102,27.8,2186,83.94,1,15,183,30,32,0,70,2,20,28,0,-,-,-,8.40,-,0,0,0
0,Kamindu Mendis RSS Feed,srilanka,ODIs,2,2,1,17,9,17.0,38,44.73,0,0,1,0,0,0,2,2,84,79,1,1/45,1/45,79.00,5.64,84.0,0,0,0
1,Lakshan Sandakan RSS Feed,srilanka,ODIs,20,11,4,31,6,4.42,87,35.63,0,0,1,0,7,0,20,19,901,969,17,4/52,4/52,57.0,6.45,53.0,1,0,0
1,Dimuth Karunaratne RSS Feed,srilanka,ODIs,25,21,2,489,97,25.73,675,72.44,0,4,43,0,7,0,25,2,16,18,0,-,-,-,6.75,-,0,0,0
1,Niroshan Dickwella RSS Feed,srilanka,ODIs,52,49,1,1571,116,32.72,1679,93.56,2,9,182,12,38,9,52,-,-,-,-,-,-,-,-,-,-,-,-
1,Milinda Siriwardana RSS Feed,srilanka,ODIs,27,24,1,516,66,22.43,525,98.28,0,3,39,13,6,0,27,21,601,547,9,2/27,2/27,60.77,5.46,66.7,0,0,0
1,Kemar Roach RSS Feed,westindies,ODIs,89,56,34,308,34,14.00,573.0,53.75,0,0,24.0,6.0,19,0,89,88,4375,3656,123,6/27,6/27,29.72,5.01,35.5,3,3,0
1,Carlos Brathwaite RSS Feed,westindies,ODIs,41,35,3,543,101,16.96,597.0,90.95,1,1,37.0,23.0,11,0,41,38,1744,1675,40,5/27,5/27,41.87,5.76,43.6,2,1,0
0,Fabian Allen RSS Feed,westindies,ODIs,10,9,2,83,51,11.85,94,88.29,0,1,10,2,5,0,10,10,324,320,2,1/37,1/37,160.0,5.92,162.0,0,0,0
1,Marlon Samuels RSS Feed,westindies,ODIs,207,196,26,5606,133*,32.97,7463.0,75.11,10,30,526.0,118.0,50,0,207,134.0,5091,4127,89,3/12,3/12,46.37,4.86,57.2,0.0,0,0
0,Nicholas Pooran RSS Feed,westindies,ODIs,10,9,1,367,118,45.87,370.0,99.18,1,2,33.0,10.0,2,0,10,-,-,-,-,-,-,-,-,-,-,-,-
1,Keemo Paul RSS Feed,westindies,ODIs,11,9,2,115,36,16.42,152,75.65,0,0,4,5,5,0,11,11,508,498,11,2/29,2/29,45.27,5.88,46.1,0,0,0
1,Sheldon Cottrell RSS Feed,westindies,ODIs,23,12,6,59,15,9.83,82.0,71.95,0,0,4.0,2.0,15,0,23,22,984,979,29,5/46,5/46,33.75,5.96,33.9,1,1,0
1,Shane Dowrich RSS Feed,westindies,ODIs,1,1,0,6,6,6.0,8.0,75.0,0,0,1.0,0.0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
1,Kraigg Brathwaite RSS Feed,westindies,ODIs,10,10,0,278,78,27.8,483.0,57.55,0,1,15.0,0.0,3,0,10,5,152,140,1,1/56,1/56,140.0,5.52,152.0,0,0,0
1,Chris Gayle RSS Feed,westindies,ODIs,298,291,17,10393,215,37.93,11923.0,87.16,25,53,1119.0,326.0,124,0,298,199.0,7424,5926,167,5/46,5/46,35.48,4.78,44.4,3.0,1,0
1,Shannon Gabriel RSS Feed,westindies,ODIs,25,16,9,24,12*,3.42,63,38.09,0,0,1,0,1,0,25,25,1148,1134,33,3/17,3/17,34.36,5.92,34.7,0,0,0
0,Ashley Nurse RSS Feed,westindies,ODIs,54,40,14,502,44,19.3,513.0,97.85,0,0,44.0,12.0,15,0,54,49,2384,2125,49,4/51,4/51,43.36,5.34,48.6,2,0,0
1,Raymon Reifer RSS Feed,westindies,ODIs,2,1,0,7,7,7.0,12.0,58.33,0,0,0.0,0.0,0,0,2,2,53,54,2,2/23,2/23,27.0,6.11,26.5,0,0,0
1,Jason Holder RSS Feed,westindies,ODIs,104,84,17,1744,99*,26.02,1838.0,94.88,0,9,126.0,57.0,45,0,104,101,4819,4459,129,5/27,5/27,34.56,5.55,37.3,4,2,0
0,Obed McCoy RSS Feed,westindies,ODIs,2,1,1,0,0*,-,1,0.0,0,0,0,0,0,0,2,2,84,109,4,2/38,2/38,27.25,7.78,21.0,0,0,0
0,Chandrapaul Hemraj RSS Feed,westindies,ODIs,6,6,0,82,32,13.66,98.0,83.67,0,0,13.0,2.0,2,0,6,1,7,9,0,-,-,-,7.71,-,0,0,0
0,Evin Lewis RSS Feed,westindies,ODIs,40,37,1,1141,176*,31.69,1388.0,82.2,2,5,117.0,28.0,13,0,40,-,-,-,-,-,-,-,-,-,-,-,-
1,John Campbell RSS Feed,westindies,ODIs,6,5,0,248,179,49.6,214,115.88,1,0,25,8,0,0,6,1,6,13,0,-,-,-,13.0,-,0,0,0
1,Alzarri Joseph RSS Feed,westindies,ODIs,16,8,5,104,29*,34.66,121,85.95,0,0,6,4,5,0,16,15,757,818,24,5/56,5/56,34.08,6.48,31.5,1,1,0
1,Shai Hope RSS Feed,westindies,ODIs,63,58,6,2521,170,48.48,3332,75.66,6,13,194,42,64,9,63,-,-,-,-,-,-,-,-,-,-,-,-
0,Rovman Powell RSS Feed,westindies,ODIs,34,31,3,670,101,23.92,806,83.12,1,2,41,30,14,0,34,13,245,243,3,1/7,1/7,81.0,5.95,81.6,0,0,0
1,Andre Russell RSS Feed,westindies,ODIs,56,47,9,1034,92*,27.21,794.0,130.22,0,4,94.0,57.0,11,0,56,55,2290,2229,70,4/35,4/35,31.84,5.84,32.7,5,0,0
0,Oshane Thomas RSS Feed,westindies,ODIs,18,9,5,13,6*,3.25,52,25.0,0,0,1,0,0,0,18,17,692,793,24,5/21,5/21,33.04,6.87,28.8,1,1,0
1,Devendra Bishoo RSS Feed,westindies,ODIs,42,25,10,164,29*,10.93,263.0,62.35,0,0,17.0,1.0,7,0,42,40,2022,1668,38,3/30,3/30,43.89,4.94,53.2,0,0,0
1,Roston Chase RSS Feed,westindies,ODIs,16,12,1,233,51,21.18,326.0,71.47,0,1,12.0,2.0,5,0,16,10,263,237,4,2/47,2/47,59.25,5.4,65.7,0,0,0
1,Sunil Ambris RSS Feed,westindies,ODIs,8,7,2,352,148,70.4,346.0,101.73,1,1,41.0,1.0,2,0,8,-,-,-,-,-,-,-,-,-,-,-,-
0,Jonathan Carter RSS Feed,westindies,ODIs,33,28,3,581,54,23.24,822.0,70.68,0,3,48.0,10.0,7,0,33,12,136,160,4,2/14,2/14,40.0,7.05,34.0,0,0,0
1,Darren Bravo RSS Feed,westindies,ODIs,110,105,13,2839,124,30.85,4045.0,70.18,3,18,235.0,66.0,33,0,110,-,-,-,-,-,-,-,-,-,-,-,-
1,Shimron Hetmyer RSS Feed,westindies,ODIs,34,32,3,1156,127,39.86,1068,108.23,4,4,87,42,15,0,34,-,-,-,-,-,-,-,-,-,-,-,-
