,orignal_name,wikipedia_name
172,javed mehmood bukhari [5],Kis Din Mera Viyah Howay Ga
173,majid ehsan,"National Defence University, Pakistan"
174,malik zafar iqbal,Zafar Iqbal (poet)
175,moazzam ejaz,List of serving Generals of the Pakistan Army
176,muhammad abdul aziz,Malcolm X
177,muhammad naeem ashraf,List of serving Generals of the Pakistan Army
178,muhammad waseem ashraf,List of serving Generals of the Pakistan Army
179,omar mahmood hayat,Zubair Mahmood Hayat
180,qazi muhammad ikram ahmad,List of serving Generals of the Pakistan Army
181,sadiq ali,Jam Sadiq Ali
182,shaheen mazhar mehmood,Frontier Corps
183,syed asim munir ahmed,Asim Munir (soldier)
184,syed muhammad adnan,List of serving Generals of the Pakistan Army
185,"syed muhammad imran majeed, hi(m), amc",List of serving Generals of the Pakistan Army
186,"zahid hamid, hi(m), amc",List of serving Generals of the Pakistan Army
187,lt. general (r) abdul qayyum,Abdul Qayyum (general)
188,lt. general (r) salahuddin tirmizi,List of senators of Pakistan
189,lutf ur rahman,Fazal-ur-Rehman (politician)
190,madad ali khan,Jam Madad Ali Khan
191,mahar irshad ahmad khan,List of members of the 4th National Assembly of Pakistan
192,mahmood jan,Mahmoud Jan
193,"abid latif khan, ff",List of serving Generals of the Pakistan Army
194,"amer ahsan nawaz, baloch",List of serving Generals of the Pakistan Army
195,"amjad ali khan khattak, ak",List of serving Generals of the Pakistan Army
196,"ammar raza, amc",List of serving Generals of the Pakistan Army
197,"arshad mahmood, hi(m), amc",List of serving Generals of the Pakistan Army
198,"arshad mahmood, hi(m), asc (superseded)",List of serving Generals of the Pakistan Army
199,"aslam khan, amc",List of serving Generals of the Pakistan Army
200,"azhar abbas, hi(m) baloch",List of serving Generals of the Pakistan Army
201,"azhar iqbal abbasi, ff",List of serving Generals of the Pakistan Army
202,"azhar naveed hayat khan, hi(m), baloch (superseded)",List of serving Generals of the Pakistan Army
203,"azhar rashid, ad",Al-Azhar University
204,"babar iftikhar, ac",List of serving Generals of the Pakistan Army
205,"chaudhary muhammad qamar ul haq noor, amc, ti(m)",List of serving Generals of the Pakistan Army
206,"dr. ehsan mehmood khan, punjab",List of serving Generals of the Pakistan Army
207,"faheem ul aziz, hi(m), baloch (superseded)",List of serving Generals of the Pakistan Army
208,"fida hussain malik, ff (superseded)",List of serving Generals of the Pakistan Army
209,"ghulam jafar, ff",List of serving Generals of the Pakistan Army
210,"hassan akhtar kayani, eme",List of serving Generals of the Pakistan Army
211,"iftikhar aamir, hi(m), cmi (superseded)",List of serving Generals of the Pakistan Army
212,"iftikhar ahmed, amc",List of serving Generals of the Pakistan Army
213,"imran fazal, amc",List of serving Generals of the Pakistan Army
214,"irfan ali sheikh, amc",List of serving Generals of the Pakistan Army
215,"kamran khurshid, cmi",List of serving Generals of the Pakistan Army
216,"kanwar adnan ahmed khan, ac",List of serving Generals of the Pakistan Army
217,"khalid javed, hi(m), ff",List of serving Generals of the Pakistan Army
218,"khalid zia, hi(m), punjab",List of serving Generals of the Pakistan Army
219,"khawar rehman, amc",List of serving Generals of the Pakistan Army
220,"liaquat ali, amc",List of serving Generals of the Pakistan Army
221,"malik muhammad masud, amc",List of serving Generals of the Pakistan Army
222,"muhammad ahmed malik, ac",List of serving Generals of the Pakistan Army
223,"muhammad arif, ac",List of serving Generals of the Pakistan Army
224,"muhammad asad qureshi, amc",List of serving Generals of the Pakistan Army
225,"muhammad ihsanullah, ff (superseded)",List of serving Generals of the Pakistan Army
226,"muhammad imtiaz khan, punjab",List of serving Generals of the Pakistan Army
227,"muhammad khalil dar, hi(m), avn (superseded)",List of serving Generals of the Pakistan Army
228,"muhammad munir afsar, punjab",List of serving Generals of the Pakistan Army
229,"muhammad saeed, sind",List of serving Generals of the Pakistan Army
230,"muhammad salman ashraf, amc, si(m)",List of serving Generals of the Pakistan Army
231,"muhammad shafiq, hi(m), ac (superseded)",List of serving Generals of the Pakistan Army
232,"muhammad zafar iqbal, ac",List of serving Generals of the Pakistan Army
233,"muhammad zafar iqbal, ad",List of serving Generals of the Pakistan Army
234,"muhammad zahid khan, ff",List of serving Generals of the Pakistan Army
235,"nadir khan, hi(m), ff[13]",List of serving Generals of the Pakistan Army
236,"nasir dilawar shah, hi(m), avn (superseded)",List of serving Generals of the Pakistan Army
237,"nigar johar, amc",List of serving Generals of the Pakistan Army
238,"rahat abbas, amc",List of serving Generals of the Pakistan Army
239,"rizwan afzal, cmi",List of serving Generals of the Pakistan Army
240,"saeed ahmad nagra, hi(m), t bt, baloch",List of serving Generals of the Pakistan Army
241,"saleem ahmed khan, hi(m), amc",List of serving Generals of the Pakistan Army
242,"saqib mahmood malik, punjab",List of serving Generals of the Pakistan Army
243,"sardar hassan azhar hayat, ff",List of serving Generals of the Pakistan Army
244,"sardar tariq aman, baloch",List of serving Generals of the Pakistan Army
245,"sarfraz ali, ak",List of serving Generals of the Pakistan Army
246,"sarfraz muhammad, ad",List of serving Generals of the Pakistan Army
247,"shahid imtiaz, ak",List of serving Generals of the Pakistan Army
248,"shahid nazir, punjab",Shahid Nazir
249,"shahzad malik, hi(m), ord (superseded)",List of serving Generals of the Pakistan Army
250,"syed aamer raza, ac",List of serving Generals of the Pakistan Army
251,"syed shahab shahid, ord",List of serving Generals of the Pakistan Army
252,"tahir iqbal, amc",List of serving Generals of the Pakistan Army
253,"tahir khadim, amc",List of serving Generals of the Pakistan Army
254,"tahir mukhtar sayed, hi(m), amc",List of serving Generals of the Pakistan Army
255,"tahir sardar, amc",List of serving Generals of the Pakistan Army
256,"tariq hussain, amc",List of serving Generals of the Pakistan Army
257,"tariq mahmood, inf",List of serving Generals of the Pakistan Army
258,"usman haq, asc",List of serving Generals of the Pakistan Army
259,"waseem ahmed, amc",List of serving Generals of the Pakistan Army
260,"wasim alamgir, amc",List of serving Generals of the Pakistan Army
261,"yousuf jamal, ff",List of serving Generals of the Pakistan Army
262,"zafar iqbal sheikh, amc",List of serving Generals of the Pakistan Army
263,"zafar ul haq, hi(m), ff (superseded)",List of serving Generals of the Pakistan Army
264,"zafar ullah khan, hi(m), ff[13] (superseded)",List of serving Generals of the Pakistan Army
265,"zahid mahmood, ff",List of serving Generals of the Pakistan Army
266,"zia ur rehman, ak",List of serving Generals of the Pakistan Army
267,makhdoom hashim jawan bakht,Hashim Jawan Bakht
268,makhdoom jameel uz zaman,Matiari District
269,makhdoom majeed hussain shah advocate.,Khusro Bakhtiar
270,makhdoom shah mahmood hussain qureshi,Shah Mehmood Qureshi
271,makhdoom zain hussain qureshi,Shah Mehmood Qureshi
272,malik karamat ali khokhar,Malik Karamat Khokhar
273,malik khaliq dad,List of Afghanistan ODI cricketers
274,malik muhammad ahmad khan,Malik Ahmad Khan
275,"malik muhammad asghar usman, psp",List of British Muslims
276,malik nauman ahmad langrial,Nauman Ahmad Langrial
277,mannan khan,Abdul Mannan Khan
278,"manzoor hussain, psp",List of British Muslims
279,marghoob ahmad,Mian Marghoob Ahmad
280,mazhar abbas raan,Malik Mazhar Abbas Raan
281,mehar ghulam muhammad lali,List of members of the 17th Provincial Assembly of the Punjab
282,mehar muhammad aslam,Mehar Muhammad Aslam Bharwana
283,mehboob zaman,Makhdoom Mehboob Zaman
284,mehmood zia ahmed,Muhammad Zia-ul-Haq
285,"mian faiz ali, advocate supreme court of pakistan.",Liaquat Ali Khan
286,mian imtiaz gul,Aziz Mian
287,mian mehmood-ur-rasheed,Mehmood-ur-Rasheed
288,mian muhammad asif,Mian Muhammad Asif Kathia
289,mian muhammad ateeq shaikh,Muhammad Ateeq Shaikh
290,mian muhammad farrukh mumtaz maneka,Bunga Hayat
291,mian muhammad shehbaz sharif,Shehbaz Sharif
292,mian raza rabbani,Raza Rabbani
293,mian riaz hussain pirzada,Riaz Hussain Pirzada
294,mian shafi muhammad,Mian Muhammad Shafi
295,mir abdul rauf rind,Abdul Rauf Rind
296,mir akbar askani,List of members of the 11th Provincial Assembly of Balochistan
297,mir hammal,Mir
298,mir muhammad akbar,Akbar
299,mir naimatullah khan zehri,Mir Naimatullah Zehri
300,mir zia ullah,List of families of Lahore
301,mirza mahmood ahmad,Mirza Basheer-ud-Din Mahmood Ahmad
302,mirza shahzad akbar,List of Urdu-language poets
303,mitta khan,Mitha Khan Kakar
304,mohammad iqbal khan,Mohammed Iqbal Khan
305,mohammad pervaiz malik,Muhammad Pervaiz Malik
306,mohib ullah khan,Muhib Ullah Khan
307,"mohsin hassan butt, psp",List of British Muslims
308,molana abdul ghafoor haideri,Abdul Ghafoor Haideri
309,molvi faiz muhammad,Molvi Faiz
310,mr imtiaz ahmed memon,Tamgha-e-Imtiaz
311,khalid mehmood,Khalid Mehmood Soomro
312,lftikhar ali shah,Military College Jhelum
313,aamir hussain,Aamir Liaquat Hussain
314,abdul haleem siddiqui,Jamiat Ulema-e-Hind
315,abdul hameed,Abdul Hamid
316,abdul hayee,Sahir Ludhianvi
317,abdul jabbar memon,Abdul Jalil
318,abdul jabbar qureshi,Abdul Rehman Jilani Dehlvi
319,abdul rehman kolachi,Karachi
320,abdul sattar,Abdul Sattar Edhi
321,abdul sattar pathan,Pathans of Punjab
322,abdul shakoor,Abdul Shakoor al-Turkistani
323,abdul wahab baloch,Pakistan Justice and Democratic Party
324,abdul wasay,Maulana Abdul Wasay
325,abdullah rajput,Bhatti Rajput
326,abdur rashid marwat,Kheshgi
327,abdur rehman,Abd al-Rahman
328,adalat khan,Aamir Khan
329,adil aziz khan,Adil Shahi dynasty
330,afsar khan,Afsar Zazai
331,aftab shahban mirani,Aftab Shaban Mirani
332,ahmed nawaz pechuho,List of members of the 12th National Assembly of Pakistan
333,akhtar hussain bhatti advocate.,"List of people from Punjab, Pakistan"
334,alamzeb,Alamzeb Mujahid
335,ali al dhaheri,Ali Saeed Bin Harmal Al Dhaheri
336,ali amin khan gandapur,Ali Amin Gandapur
337,ali muhammad,Muhammad Ali
338,ali muhammad khan mahar,Ali Mohammad Mahar
339,ali nawaz shah,Syed Ali Nawaz Shah Rizvi
340,ali zardari,Asif Ali Zardari
341,aly zaki ansari,Muhammad (name)
342,aman ullah,Amanullah Khan
343,"amir farooqui, psp",Muttahida Qaumi Movement
344,amir tufail,Ibn Tufail
345,amjad nazir,Aafat
346,arab nawaz,Maajid Nawaz
347,arbab ali chandio,Qambar Shahdadkot District
348,arif ahmed khan,Imran Khan
349,arif javed,Khalid Mahmud Arif
350,asad umer,Asad Umar
351,asif ali soomro,Asif Ali Zardari
352,aslam nawaz,Mirza Aslam Beg
353,asmatullah,Jamiat Ulama-e-Islam Nazryati
354,attaullah,Attaullah Khan Esakhelvi
355,"aurangzeb khan, sp",Bareilly
356,ayaz mehmood,Ayaz Mahmood
357,azmat ali khan,Ali Azmat
358,bakht zada,Ali Baba Khan
359,banaras khan,Banarus Muhammad Khan
360,bashir dad,Living with Michael Jackson
361,falak nawaz,Muhammad Nawaz Abbasi
362,falak niaz,Shehr-e-Zaat
363,"farrukh ali, psp",NA-240 (Korangi Karachi-II)
364,fazal mula,Kheer Bhawani
