,ACCESS_METHOD_ID_,IsWeekDay_,Period_,CALL_DURATION_sum,CALL_DURATION_max,CALL_DURATION_min,CALL_DURATION_mean,NO_OF_CALLS_sum,NO_OF_CALLS_max,NO_OF_CALLS_min,NO_OF_CALLS_mean
150,-11526233,1,afternoon,25,4,1,2.273,12,2,1,1.091
151,-11526233,1,morning,17,3,1,1.7,11,2,1,1.1
152,-11524561,1,morning,42,42,42,42,1,1,1,1
153,-11524050,0,afternoon,1,1,1,1,1,1,1,1
154,-11524050,0,evening,17,8,1,2.834,12,5,1,2
155,-11524050,0,morning,18,4,1,2.25,10,2,1,1.25
156,-11524050,0,night,17,8,1,2.428,7,1,1,1
157,-11524050,1,evening,125,47,1,10.414,12,1,1,1
158,-11524050,1,morning,131,29,1,8.734,20,2,1,1.333
159,-11524050,1,night,287,60,1,11.04,34,3,1,1.308
160,-11522521,0,afternoon,3,2,1,1.5,2,1,1,1
161,-11522521,0,evening,1,1,1,1,1,1,1,1
162,-11522521,0,morning,23,11,1,5.75,4,1,1,1
163,-11522521,1,afternoon,17,6,1,2.125,8,1,1,1
164,-11522521,1,evening,21,16,1,5.25,6,2,1,1.5
165,-11522521,1,morning,12,8,1,3,4,1,1,1
166,-11522378,0,afternoon,125,35,1,6.945,22,2,1,1.223
167,-11522378,0,evening,226,60,1,20.55,16,4,1,1.454
168,-11522378,0,morning,117,55,1,7.312,24,4,1,1.5
169,-11522378,0,night,78,58,1,19.5,5,2,1,1.25
170,-11522378,1,afternoon,222,59,1,20.19,13,3,1,1.182
171,-11522378,1,evening,5,3,2,2.5,2,1,1,1
172,-11522378,1,morning,93,42,1,13.29,10,2,1,1.429
173,-11522378,1,night,13,12,1,6.5,2,1,1,1
174,-11521869,0,afternoon,5,4,1,2.5,3,2,1,1.5
175,-11521869,0,evening,7,3,1,1.75,4,1,1,1
176,-11521869,0,morning,4,1,1,1,4,1,1,1
177,-11521869,1,afternoon,34,7,1,2.615,16,2,1,1.23
178,-11521869,1,evening,12,3,1,1.5,9,2,1,1.125
179,-11521869,1,morning,20,4,1,1.818,16,4,1,1.454
180,-11521848,0,afternoon,40,11,1,4.445,16,4,1,1.777
181,-11521848,0,evening,87,28,1,7.25,20,4,1,1.667
182,-11521848,0,morning,17,10,1,4.25,4,1,1,1
183,-11521848,1,afternoon,328,60,1,9.65,66,7,1,1.941
184,-11521848,1,evening,266,60,1,8.31,53,5,1,1.656
185,-11521848,1,morning,70,16,1,5.383,20,4,1,1.538
186,-11521848,1,night,3,3,3,3,2,2,2,2
187,-11520605,1,afternoon,12,10,1,4,5,3,1,1.667
