,Unit,Islam-abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar-godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha-war,Bannu,Quetta,Khuz-dar,Average Prices Apr 18,Average Prices Mar 18,Average Prices Apr 17,%change Apr 18 over Mar 18,%change Apr 18 over April 17 
"Pulse Moong, Washed",1 Kg,133.13,127.08,110,110,121.43,110,110,100,115,121.15,111.1,125,102.5,100.84,105,156.25,100,115.2,116.21,128.46,-0.87,-10.32
"Pulse Mash, Washed",1 Kg,163.13,145.83,150,150,188.93,162.5,175,124.17,125,124.23,121.25,120,110,119.33,122.5,185,230,148.05,151.17,190.4,-2.06,-22.24
"Pulse Gram, Washed",1 Kg,133.75,120,99.69,107.5,116.43,105,100,102.5,115,121.54,116.25,120,111.25,116,101.88,145,120,114.81,114.75,128.14,0.05,-10.4
Potatoes,1 Kg,37.04,30,23.75,22.5,23.39,20.31,15,21.04,20,23.18,21.25,18.75,18.75,26.25,20,27.5,28.25,23.35,23.98,29.36,-2.63,-20.47
Onions,1 Kg,47.35,37.92,30,32.5,30.09,28.75,25,26.25,27.5,23.92,21.25,25,27.5,38.33,32.5,30,28.75,30.15,33.11,32.44,-8.94,-7.06
Tomatoes,1 Kg,52.81,42.81,42.5,43.75,42.41,37.5,35,29.17,27.5,24.4,21.1,19.38,18.13,36.25,32.5,35,25,33.25,31.8,57.12,4.56,-41.79
"Sugar, Refined",1 Kg,57.82,53.83,53.25,53,54.64,52,51.38,52,52.13,54.51,52.38,51.5,50.5,52.63,52.13,54.75,50,52.85,51.33,59.97,2.96,-11.87
"Gur, Average Quality",1 Kg,109.38,98.33,62.5,70,84.29,67.5,70,56.25,61.25,82.74,76.25,60,59.38,82.5,82.5,87.5,77.5,75.76,76.32,83.44,-0.73,-9.2
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,17,10,10,10,12,12,12,10,10,13.75,12,10,10,11.34,11.12,10.71,1.98,5.88
"Red Chilly Powder, Loose",1 Kg,317.5,291.46,251.25,260,270.36,280,282.5,258.75,247.5,296.92,277.5,250,237.5,241.67,230,310,290,270.17,260.23,264.22,3.82,2.25
Garlic,1 Kg,188.75,153.13,125,126.25,142.68,150,76.25,140,87.5,159.14,151.25,133.75,107.5,185,151.25,197.5,188.75,144.92,174.45,251.81,-16.93,-42.45
"Tea, Lipton Yellow Label, Packet",200 gm,197.37,197.37,194.74,194.74,194.74,194.74,194.74,194.74,195,194.74,194.73,194.73,194.73,194.76,194.73,194.73,194.73,195.06,193.34,201.42,0.89,-3.16
"Cooked Beef, Average Hotel",Plate,115,113.33,120,115,115,135,100,95,125,93.08,80,100,100,120,105,90,140,109.49,103.91,93.51,5.37,17.09
"Cooked Daal, Average Hotel",Plate,78.75,75.83,45,55,67.32,55,50,40,60,61.54,60,70,65,60,50,65,80,61.08,58.29,56.94,4.79,7.27
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,23.75,25,27.5,15,20,21,20,21.41,21.19,20.68,1.04,3.53
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,50,55,50,50,50,55,58.75,50,50,51.1,50.76,67.35,0.67,-24.13
Long Cloth,1 mtr,225,215,162.5,160,267.5,237.5,245,260,180,180,240,265,200,333.33,157.5,210,195,219.61,214.02,205.87,2.61,6.67
Shirting,1 mtr,216.88,205,180,180,155,125,150,240,120,166.15,140,147.5,157.5,297.92,147.5,160,190,175.2,171.06,164.78,2.42,6.32
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,169,415,280,327.5,366.66,384.75,187.5,200,165,268.9,258.75,251.91,3.92,6.74
Georgette,1 mtr,165,162.92,150,140,135,160,140,105,110,121.54,120,137.5,130,123.33,100,105,117.5,130.75,128.32,124.55,1.89,4.98
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,194,194,194,194,194,194,194,194,194,194.39,194,194,194,194,194,194,194,194.02,179.09,179.09,8.34,8.34
Sandal Bata (Ladies),Pair,574,574,574,574,574,574,574,574,586.5,575.92,574,574,574,574,574,574,574,574.85,502.39,502.39,14.42,14.42
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,128.75,126.25,116,117,125,110,110,107.92,125,131.63,108,115,130,113.33,116,89,88,115.11,115.11,78.88,0,45.93
Firewood Whole,40 Kg,787.5,741.67,750,700,764.29,600,550,646.67,625,651.92,550,400,450,729.17,500,650,550,626.25,633,610.56,-1.07,2.57
Energy Saver (14 watts),Each,167.5,167.5,158.75,155,170,165,180,165,175,180,200,155,180,180,170,180,150,170.51,170.15,167.79,0.21,1.62
"Washing Soap, (Nylon), (SN)",Cake,25,25,40,22,40,25,40,22,20,14,30,26,30,20,22.5,30,40,27.74,26.15,25.91,6.08,7.06
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.26,2.26,2.18,0,3.67
"Petrol, Super",1 Ltr,86.46,86.45,86.48,88.2,86.36,86.4,86.61,86.46,87.4,86.46,87.14,86.48,86.9,86.46,88.4,86.31,89.7,86.98,88.99,74.85,-2.26,16.21
Hi Speed Diesel (HSD),1 Ltr,96.94,96.43,96.95,98.2,96.8,96.94,97.09,96.94,97.96,96.94,97,96.94,97.1,96.94,99,96.75,99.98,97.35,99.4,83.97,-2.06,15.93
"LPG Cylinder, 11kg",Each,1295,1275,1045,1100,1100,1187.5,1081.25,1100,1155,1155,1210,1210,1320,1210,1106.25,1275,1187.5,1177.21,1190,1089.3,-1.07,8.07
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
