Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Oct 18,Average Prices Sep18,Average Prices Oct 17,%change Oct 18 over Sep 18,%change Oct 18 over Oct 17
"Cooked Daal, Average Hotel",Plate,85,75.83,46.25,60,67.32,55,50,40,60,63.46,60,70,65,60,50,65,80,61.93,61.75,58.27,0.29,6.28
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,21.43,22.5,22.5,20,22.5,23.27,25,25,27.5,15,20,21,20,21.81,21.81,21.19,0,2.93
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,50,60,50,60,55,60,60,50,65,65,50,55,57.65,51.76,50.76,11.38,13.57
Long Cloth,1 mtr,225,215,172.5,160,267.5,237.5,250,260,250,180,240,375,200,333.33,250,210,187.5,236.08,234.24,212.3,0.79,11.2
Shirting,1 mtr,225.63,220,185,180,155,125,160,240,120,166.15,140,175,157.5,300,147.5,160,180,178.63,178.63,169.55,0,5.36
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,383.5,415,280,393,366.66,393,235,200,165,288.65,288.12,255.77,0.18,12.86
Georgette,1 mtr,165,162.92,160,140,135,160,140,105,110,121.54,120,150,130,123.33,100,105,117.5,132.08,132.08,125.68,0,5.09
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,140.99,,140.99,128.7,128.7,9.55,9.55
Kerosene Oil,1 Ltr,137.5,135,120,125,125,118,120,115,130,133.37,125,115,140,118.33,110,96,100,121.36,121.36,83.21,0,45.85
Firewood Whole,40 Kg,787.5,741.67,750,700,764.29,600,550,663.33,625,667.31,550,400,450,729.17,500,650,550,628.13,627.91,612.78,0.04,2.5
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,171.18,168.82,0,1.4
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,22,40.86,25,40,22,20,14,30,26,30,20,22.5,30,40,28.37,28.37,25.91,0,9.49
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,2,2,2.5,3,2,3,2,1.5,2.35,2.35,2.21,0,6.33
"Petrol, Super",1 Ltr,93.27,93.27,93.3,95.1,94.19,93.27,93.4,93.5,94.2,93.27,93.97,93.27,94.3,93.27,95.2,93.14,96.02,93.88,93.88,74.25,0,26.44
Hi Speed Diesel (HSD),1 Ltr,107.06,107.06,107.1,108.3,106.92,107.06,107.2,107.06,108.05,107.06,107.83,107.1,107.6,107.1,109,106.87,110.13,107.56,107.56,80.25,0,34.03
"LPG Cylinder, 11kg",Each,1560,1537.5,1471.25,1457.5,1491.88,1550,1537.5,1567.5,1622.5,1485,1540,1650,1650,1650,1487.5,1475,1500,1543.13,1576.47,1224.08,-2.11,26.06
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,41,41,40,40,40,42,42,40,40,40,40,40,40,40,40,42,42,40.59,40.71,41.76,-0.29,-2.8
"Cement (Local), SN",50 Kg,623.75,617.5,591.88,600,615,595,597.5,590,600,609.62,615,592.5,595,625,622.5,570,535,599.72,,,,
Carpenter Wage Rate,Daily,1300,1300,856.25,912.5,1100,700,1200,1100,793.75,1292.31,1000,900,800,1000,1250,1000,1400,1053.22,,,,
Mason (Raj) Wage Rate,Daily,1300,1300,1250,1125,1150,1200,1200,1100,1037.5,1265.38,1000,900,800,1200,1400,1200,1200,1154.58,,,,
Unskilled Labour Wage Rate,Daily,825,800,750,725,850,700,700,600,600,815.38,600,400,400,600,600,700,600,662.67,,,,
Plumber Wage Rate,Daily,1300,1300,800,850,1050,750,1200,1100,793.75,1261.54,1000,900,600,1200,900,900,1400,1017.96,,,,
Electrician Charges,P/Point,220,215,140,140,177.5,115,135,100,118.75,211.54,125,87.5,135,100,92.5,160,100,139.58,,,,
CNG,1 Kg,80.94,80.53,80.2,80.24,80.45,80.49,80.74,80.44,80.45,98.42,95.42,98.43,94.99,105.9,110.9,104.13,,89.54,,,,
Sona Urea,50 Kg,,1700,1725,,1647.99,1742.5,1735,1725,1737.5,,1720,1700,1667.5,1693.75,1680,1700,,1705.71,,,,
Kissan Urea,50 Kg,,1600,,,1647.99,1737.5,1682.5,1685,1657.5,,,1697.5,,1675,,,,1672.87,,,,
Calc. Amonium Nitrate,50 Kg,,1500,1500,,1487.5,1575,1587.5,1510,1487.5,,1550,1550,1440,,,,,1518.75,,,,
"S.S Phosphate, Gr. 18%",50 Kg,,,975,,937.5,1000,800,970,900,,950,,1200,987.5,,,,968.89,,,,
"S.S Phosphate, Pd. 18%",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
"Triple Sup. Phosph., Gr",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
Sulphate of Potash,50 Kg,,,3500,,3500,3800,3525,,3550,,,,3950,3725,,,,3650,,,,
Nitro. Phosphate,50 Kg,,,2850,,2780,2862.5,2850,2815,2837.5,,2800,2832.5,2662.5,2837.5,,,,2812.75,,,,
DIA Amun. Phosphate,50 Kg,,3500,3542.5,,3437.5,3612.5,3567.5,3525,3637.5,,3425,3512.5,3462.5,3562.5,3575,3400,,3520,,,,
50 Kg,,2850,,,2775,2837.5,2650,2525,2887.5,,,,2700,2750,2900,2975,,2785,,,,,
