,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Dec 18,Average Prices Nov 18,Average Prices Dec 17,%change Dec 18 over Nov 18,%change Dec 18 over Dec 17
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20,10,10,10,12,12,15,10,10,15,12,10,10,12.35,12.35,11.09,0,11.36
"Red Chilly Powder, Loose",1 Kg,397.5,373.55,320,320,327.86,380,440,276.67,295,376.34,400,400,320,356.67,350,310,290,349.03,349.23,259.58,-0.06,34.46
Garlic,1 Kg,170.16,136.25,105,120,114.56,122.5,116.25,115,120,151.83,128.13,122.5,100,146.67,120,162.5,200,132.43,130.85,161.46,1.21,-17.98
"Tea, Lipton Yellow Label, Packet",200 gm,221.05,221.05,221.05,221.05,215.46,221.05,221.05,217.1,221,217.1,213.16,213.16,221.05,221.05,221.05,205.26,194.73,216.85,207.55,180.49,4.48,20.15
"Cooked Beef, Average Hotel",Plate,128.13,117.92,125,130,115,150,120,100,125,99.23,95,100,100,120,105,90,140,115.31,115.31,99.93,0,15.39
"Cooked Daal, Average Hotel",Plate,85,75.83,50,60,67.32,55,50,40,60,64.04,60,70,65,60,50,65,85.63,62.52,62.19,58.27,0.53,7.29
"Tea Prepared, Average Hotel",Cup,25.31,25,20,20,21.43,22.5,25,20,22.5,23.46,26.25,25,27.5,15,20,21,20,22.35,22.05,21.19,1.36,5.47
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,60,60,50,60,60,60,60,50,65,70,50,60,59.12,59.12,50.76,0,16.47
Long Cloth,1 mtr,225,215,172.5,160,285,237.5,250,285,250,180,240,375,200,341.67,250,210,180,238.63,236.84,212.3,0.76,12.4
Shirting,1 mtr,225.63,220,185,180,165,125,170,240,120,166.15,140,175,157.5,316.67,147.5,160,170,180.2,178.87,169.55,0.74,6.28
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,383.5,415,280,393,366,393,235,200,165,288.61,288.65,255.77,-0.01,12.84
Georgette,1 mtr,165,162.92,160,140,145,160,150,105,110,121.54,120,150,130,123.33,100,105,117.5,133.25,132.9,125.68,0.26,6.02
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,145.08,128.7,0,12.73
Kerosene Oil,1 Ltr,137.5,135,123,128,125,122.5,120,117.92,132,134.33,125,115,140,118.33,110,96,100,122.33,123.38,95.81,-0.85,27.68
Firewood Whole,40 Kg,787.5,741.67,750,700,810.71,600,550,681.67,650,667.31,600,400,450,729.17,500,650,603.13,639.48,633.3,623.75,0.98,2.52
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,171.18,169.56,0,0.96
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,22,40.86,25,43.75,22,20,14,30,26.5,30,20,23.13,30,40,28.66,28.37,25.91,1.02,10.61
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,2.5,3,2.5,3,2,3,2,1.5,2.44,2.4,2.23,1.67,9.42
"Petrol, Super",1 Ltr,96.26,96.26,96.3,97.9,97.19,96.2,96.4,96.8,97.25,96.26,96.95,96.26,97.2,96.26,98.2,96.14,98.81,96.86,98.57,78.32,-1.73,23.67
Hi Speed Diesel (HSD),1 Ltr,111.39,111.4,111.4,112.6,111.29,111.4,86.54,111.9,112.65,111.4,112.11,111.4,112,111.4,113.4,111.24,114.13,110.45,113.55,86.93,-2.73,27.06
"LPG Cylinder, 11kg",Each,1568.75,1557.5,1581.25,1595,1588.13,1737.5,1462.5,1622.5,1622.5,1430,1567.5,1595,1540,1677.5,1437.5,1518.75,1500,1564.82,1392.56,1389.34,12.37,12.63
Telephone Local Call,P/Call,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.94,0,18.02
Each,40,40,40,40,40,42,42,40,40,40,40,40,40,40,40,42,42,40.47,40.47,41.76,0,-3.09,
"Cement (Local), SN",50 Kg,620,610,608.75,610,613.93,602.75,600,593.75,600,621.15,630,,617.5,598.33,595,610,554.38,606.21,,,,
Carpenter Wage Rate,Daily,1300,1300,950,1000,1100,800,1200,1100,900,1292.31,1200,1000,800,1000,1250,1000,1400,1093.67,,,,
Mason (Raj) Wage Rate,Daily,1300,1300,1300,1200,1150,1200,1200,1100,1050,1430.77,1200,1000,800,1200,1400,1200,1200,1190.05,,,,
Unskilled Labour Wage Rate,Daily,825,800,750,800,850,700,700,600,600,934.62,700,450,400,600,600,700,600,682.92,,,,
Plumber Wage Rate,Daily,1300,1300,800,1000,1050,800,1200,1100,900,1388.46,1200,1000,600,1200,900,900,1400,1061.09,,,,
Electrician Charges,P/Point,220,215,140,140,177.5,115,135,100,120,211.54,150,87.5,135,100,92.5,160,100,141.12,,,,
CNG,1 Kg,86.42,86.47,82.95,82.95,83.95,82.99,86.99,83.43,83.5,104,104,104,104,114.9,113.9,109,,94.59,,,,
Sona Urea,50 Kg,,1825,1820,,1737.5,1825,1835,1755,1790,,1775,1783.75,1740,1777.5,1860,1775,,1792.21,,,,
Kissan Urea,50 Kg,,1775,,,1737.5,1825,1800,1740,1772.5,,,1755,,1745,,,,1768.75,,,,
Calc. Amonium Nitrate,50 Kg,,1575,1650,,1617.5,1662.5,1637.5,1575,1655,,1625,1600,1462.5,,,,,1606,,,,
"S.S Phosphate, Gr. 18%",50 Kg,,,1000,,1037.5,987.5,1032.5,912.5,1050,,975,,1200,1000,,,,1021.67,,,,
"S.S Phosphate, Pd. 18%",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
"Triple Sup. Phosph., Gr",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
Sulphate of Potash,50 Kg,,,3500,,3512.5,3800,3625,3900,3675,,,,3762.5,3775,,,,3693.75,,,,
Nitro. Phosphate,50 Kg,,,2937.5,,2870,2962.5,2956.25,2900,2975,,2975,2975,2860,2875,,,,2928.63,,,,
DIA Amun. Phosphate,50 Kg,,3600,3500,,3562.5,3675,3650,3500,3650,,3500,3500,3497.5,3600,3703.75,3550,,3576.06,,,,
Nitro. Phosph. & Pot. (Npk),50 Kg,,2850,,,2862.5,2900,2887.5,2630,2887.5,,,,,,,,,,,,,
