Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Sep 17,Average Prices  Aug 17,Average Prices Sep 16 ,%change Sep 17 over Aug 17,%change Sep 17 over Sep 16
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,110,93.08,77.5,100,100,120,100,90,140,95.59,93.52,91.93,2.21,3.98
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.15,52.5,50,65,60,50,65,80,58.27,57.18,56.61,1.91,2.93
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.1,19.87,0.43,6.64
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,64.18,0,-20.91
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,212.3,205.57,0,3.27
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,169.55,169.32,164.3,0.14,3.2
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,140,105,110,121.54,120,125,130,120,100,105,95,125.68,125.56,123.54,0.1,1.73
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,69.5,90,86.67,85,56,50,78.88,78.88,77.05,0,2.38
Firewood Whole,40 Kg,787.5,741.67,675,650,762.86,600,500,606.67,625,644.23,550,400,450,715.63,496.25,650,500,609.11,609.09,597.49,0,1.94
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,197.5,155,175,180,160,180,150,168.24,167.79,167.79,0.27,0.27
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.62,0,1.13
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.21,2.09,0,5.74
"Petrol, Super",1 Ltr,71.76,71.76,71.89,72.9,71.86,71.77,71.99,71.98,72.9,71.76,72.18,71.7,72.1,71.77,74.1,71.8,73.9,72.24,70.62,65.12,2.29,10.93
Hi Speed Diesel (HSD),1 Ltr,77.7,77.7,77.85,78.9,77.76,77.7,77.98,77.99,79.1,77.7,78.32,77.7,78.1,77.7,80.1,77.71,80.5,78.27,78.77,73.45,-0.63,6.56
"LPG Cylinder, 11kg",Each,1247.5,1227.5,1127.5,1210,1127.5,1225,1137.5,1137.5,1210,1100,1210,1210,1292.5,1210,1143.75,1175,1087.5,1181.1,1127.32,995.76,4.77,18.61
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,42,42,42,42,42,42,42,42,42,42,42,42,40,42,40,42,42,41.76,41.65,36.82,0.26,13.42
