Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Aug 17,Average Prices  Jul 17,Average Prices Aug 16 ,%change Aug 17 over Jul 17,%change Aug 17 over Aug 16
Garlic,1 Kg,253.25,213.83,188,188,207.79,168,160,169.66,169,205.61,180.25,162,156,185,250,218,206,192.96,202.6,270.81,-4.76,-28.75
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,194.74,194.74,194.73,200,200.01,178.95,194.76,194.74,205.26,205.26,184.2,199.6,205.2,205.26,178.94,193.78,203.7,157.9,-4.87,22.72
"Cooked Beef, Average Hotel",Plate,107.5,104.17,62.5,62.5,102.86,75,100,80,75,92.85,77.5,100,100,120,100,90,140,93.52,93.51,91.63,0.01,2.06
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,50.5,46,40,50,61.15,52.5,50,65,60,50,65,80,57.18,56.94,56.15,0.42,1.83
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,21,21.73,20,25,27.5,15,20,21,20,21.1,20.97,19.87,0.62,6.19
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,64.18,0,-20.91
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,212.3,205.57,0,3.27
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,146,210,115,166.15,140,120,157.5,300,147.5,160,190,169.32,169.26,164.3,0.04,3.06
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,138,105,110,121.54,120,125,130,120,100,105,95,125.56,125.38,123.54,0.14,1.64
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.54,0,0.12
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,69.5,90,86.67,85,56,50,78.88,78.81,74.87,0.09,5.36
Firewood Whole,40 Kg,787.5,741.67,675,650,762.86,600,500,606.67,625,644.23,550,400,450,716.67,495,650,500,609.09,608.73,597.4,0.06,1.96
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.79,0,0
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.03,0,3.52
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.21,2.09,0,5.74
"Petrol, Super",1 Ltr,70.13,70.13,70.26,71.26,70.22,70.16,70.38,70.3,71.26,70.13,70.68,70.06,70.48,70.13,72.46,70.24,72.26,70.62,72.04,65.12,-1.97,8.45
Hi Speed Diesel (HSD),1 Ltr,78.2,78.2,78.35,79.4,78.26,78.24,78.48,78.43,79.6,78.2,78.82,78.27,78.6,78.2,80.6,78.21,81,78.77,80.78,73.44,-2.49,7.26
"LPG Cylinder, 11kg",Each,1148,1140,1012,1144,1078,1180,1095,1100,1122,1078,1210,1166,1181.4,1210,1120,1150,1030,1127.32,984.01,882.65,14.56,27.72
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,42,42,42,42,42,42,42,42,42,42,40,42,40,42,40,42,42,41.65,41.62,36.82,0.07,13.12
