Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Mar 18,Average Prices Feb 18,Average Prices March 17,%change Mar 18 over Feb 18,%change Mar 18 over Mar 17
"Shirting, (AQ), (SN)",1 mtr,216.88,205,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,171.06,171.06,164.3,0,4.11
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,264,386.67,150,169,415,280,280,366.66,360,187.5,200,165,258.75,255.77,251.21,1.17,3
"Georgette, (AQ), (SN)",1 mtr,165,162.92,132.5,130,135,160,140,105,110,121.54,120,125,130,122,100,105,117.5,128.32,126.61,124.13,1.35,3.38
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,128.75,126.25,116,117,125,110,110,107.92,125,131.63,108,115,130,113.33,116,89,88,115.11,109.13,78.88,5.48,45.93
Firewood Whole,40 Kg,787.5,741.67,775,700,810.71,600,550,690,625,651.92,550,400,450,729.17,500,650,550,633,633,609.25,0,3.9
Energy Saver,Each,167.5,167.5,155,155,170,162.5,180,165,175,180,200,155,180,180,170,180,150,170.15,169.56,167.79,0.35,1.41
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,29,26,30,20,22.5,30,40,26.15,25.91,25.91,0.93,0.93
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.26,2.24,2.18,0.89,3.67
"Petrol, Super",1 Ltr,88.51,88.5,88.53,90.2,88.43,88.51,88.65,88.51,89.44,88.51,89.29,88.5,88.7,88.51,90.5,88.38,91.21,88.99,85.45,73.84,4.14,20.52
Hi Speed Diesel (HSD),1 Ltr,98.92,98.91,98.94,100.2,98.8,98.92,99.06,98.93,99.96,98.93,99.72,98.91,99.1,98.91,101,98.75,101.82,99.4,96.81,82.94,2.68,19.85
"LPG Cylinder, 11kg",Each,1308,1288,1067,1122,1100,1150,1080,1120,1210,1100,1210,1254,1331,1210,1125,1335,1220,1190,1308.6,1117.91,-9.06,6.45
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,38,38,40.4,40.4,38,42,42,38,38,38,37.2,38,40,38,40,42,42,39.41,39.65,38.94,-0.61,1.21
