Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Nov 17,Average Prices  Oct 17,Average Prices Nov 16 ,%change Nov 17 over Oct 17,%change Nov 17 over Nov 16
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,140,105,110,121.54,120,125,130,120,100,105,95,125.68,125.68,124.03,0,1.33
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,108.75,103.75,90,87,100,79,85,80,100,115.58,86,80,100,100,92,65,64,90.36,83.21,77.05,8.59,17.27
Firewood Whole,40 Kg,787.5,741.67,700,650,762.86,600,550,680,625,651.92,550,400,450,720.83,500,650,500,618.81,612.78,600.91,0.98,2.98
Energy Saver,Each,167.5,167.5,155,155,170,162.5,180,165,175,176,200,155,180,180,160,180,150,169.32,168.82,167.79,0.3,0.91
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.91,0,0
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.21,2.09,0,5.74
"Petrol, Super",1 Ltr,76.25,76.25,76.38,77.6,76.35,76.25,76.48,76.97,77.4,76.25,76.77,76.25,76.6,76.25,78.4,76.3,78.4,76.77,74.25,65.13,3.39,17.87
Hi Speed Diesel (HSD),1 Ltr,84.88,84.88,85.03,86.3,84.94,84.88,85.14,85.5,86.3,84.88,85.47,84.88,85.3,84.88,87.3,84.9,87.7,85.48,80.25,73.45,6.52,16.38
"LPG Cylinder, 11kg",Each,1302,1280,1155,1309,1188,1250,1200,1170,1298,1166,1254,1210,1320,1331,1236,1345,1100,1242,1224.08,1169.12,1.46,6.23
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,42,42,42,42,42,42,42,42,42,42,42,42,40,42,40,42,42,41.76,41.76,36.82,0,13.42
