allegiance,alma mater,awards,based in,battles/wars,born,cabinet,cause of death,chief minister of punjab (pakistan),children,citizenship,civilian awards,commands,committees,died,domestic partner,education,father,known for,military awards,mother,national awards,nationality,net worth,nickname(s),notable awards,occupation,other politicalaffiliations,other names,parents,period in office,political party,portfolio,post,post-retirement work,predecessor,profession,rank,relations,relatives,religion,residence,resting place,s/no.,salary,school,service/branch,spouse,spouse(s),unit,website,years of service
,,,,,1912bombay,,,,,,,,,1991karachi,,bachelor of arts| ll.b.,ibrahim rahimtoola,founders of pakistan,,,,,,,,,,,,,,,,,,,,,jafar rahimtoola (uncle)fazal i rahimtoola (brother),,,,,,,,,zubeida rahimtoola,,,
,university of karachi,,,, (1956-07-01) 1 july 1956 (age 62)karachi| pakistan,,,,3 daughters1 son,,,,,,,,,,,,,,,,,,,,,,,,,,,south asia expert| journalist| diplomat| academic and political activist[1][2],,,,,,,,,,,,farahnaz ispahani,,http://www.husainhaqqani.com/,
,karachi grammar schooluniversity of karachi,,,, (1950-10-21) 21 october 1950 (age 68)karachi| sindh| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdullah haroon (grandfather),,,,,,,,,,,,
,university of bombay(ba in phil. and llb),,,,ibrahim ismail chundrigar(1897-09-15)15 september 1897[1]godhra| gujarat| british india(present-day| panchmahal district in gujarat in india),,haemorrhage,,2 sons| including abdullah[2] and abu bakr|[2], british india(1897–47) pakistan(1947–60),,,,26 september 1960(1960-09-26) (aged 63)royal northern hospital in london| united kingdom[2],,,,,,,,,,,,,,,,,muslim league(1936-1960),,,,,lawyer| diplomat,,,,,,karachi| sindh| pakistan,,,,,,,,i. i. chundrigarofficial website,
,,,,, (1940-11-10) 10 november 1940 (age 78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, (1940-11-10) 10 november 1940 (age 78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dhaka universitycalcutta university,,,,jalaludin abdur rahim(1906-07-27)27 july 1906chittagong| bengal presidency| british india  (now in bangladesh),zulfikar ali bhutto government,,,, pakistan,,,,1977karachi| sindh province| pakistan,,,,,,,,pakistani,,,,communistsocial worker,pakistan communist party,,,,pakistan peoples party,,,,,civil servant,,justice abdur rahim (father),,,,,,,,,,esther rahim,,,
,university of oxford,,,, (1955-02-02) 2 february 1955 (age 63)multan| pakistan,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,salim abbas jilani (uncle)[1],,,,,,,,,,,,,
british india,the doon schoolforman christian college university,,,world war ii,(1922-11-24)24 november 1922hyderabad| india [1],,,,2,,,,,21 june 2018(2018-06-21) (aged 95)karachi| sindh| pakistan,,,,,,,,pakistan,,,,,,,,,,,,,,,,,,,,,,,, royal indian navy,,"
arnaz minwalla
diana dinshaw (d. 1979)
",,,
,government college| lahore; university of the punjab,,,, (1944-03-03) 3 march 1944 (age 74)jhang| pakistan,,,,nadia imran| farooq husain,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat/former pakistani ambassador,,,,,lahore| pakistan,,,,,,,shama husain,,,
