,Index,column,Query
221,40519,Remarks,"{'drug trafficking', 'drug'}"
222,40530,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
223,40556,Aliases,narcotics
224,40582,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
225,40658,"{'Name', 'OrigName'}",tobacco
226,40669,"{'Name', 'OrigName', 'Aliases'}","{'drug trafficking', 'drug'}"
227,41251,Remarks,drogas
228,41276,Remarks,drogas
229,41325,Remarks,drug
230,41354,Remarks,"{'drug trafficking', 'drug'}"
231,41355,Remarks,"{'drug trafficking', 'drug'}"
232,41356,Remarks,"{'drug trafficking', 'drug'}"
233,41359,Remarks,drugs
234,41373,Remarks,drug
235,41388,Remarks,drug
236,41423,Remarks,drug
237,41425,Remarks,drugs
238,41440,Remarks,drugs
239,41588,Remarks,"{'drug', 'drugs'}"
240,41685,Remarks,"{'drug trafficking', 'drug'}"
241,41729,Remarks,drogas
242,41852,Remarks,drugs
243,41853,Remarks,drug
244,41877,Remarks,drugs
245,41906,Remarks,"{'cannabis', 'drug'}"
246,41939,Remarks,drugs
247,41942,Remarks,drug
248,41944,Remarks,drugs
249,41981,Remarks,drugs
250,42114,Remarks,drugs
251,42125,Remarks,drugs
252,42170,Remarks,"{'drug trafficking', 'drug'}"
253,42210,Remarks,drugs
254,42280,Remarks,narcotics
255,42299,Remarks,drug
256,42308,Remarks,drug
257,42310,Remarks,drug
258,42311,Remarks,drug
259,42383,Remarks,drugs
260,42402,Remarks,drugs
261,42404,Remarks,drugs
262,42454,Remarks,drugs
263,42455,Remarks,drugs
264,42508,Remarks,drugs
265,42521,Remarks,drug
266,42541,Remarks,drugs
267,42542,Remarks,drug
268,42543,Remarks,drugs
269,42554,Remarks,drug
270,42588,Remarks,drug
271,42643,Remarks,drug
272,42647,Remarks,drug
273,42651,Remarks,cocaine
274,42654,Remarks,drugs
275,42670,Remarks,narcotics
276,42681,Remarks,drug
277,42695,Remarks,drug
278,42696,Remarks,drug
279,42701,Remarks,drug
280,42702,Remarks,drug
281,42723,Remarks,narcotics
282,42726,Remarks,drug
283,42744,Remarks,narcotics
284,42752,Remarks,drugs
285,42764,Remarks,drug
286,42798,Remarks,drugs
287,42825,Remarks,drug
288,42826,Remarks,drugs
289,42833,Remarks,drugs
290,42837,Remarks,drugs
291,42861,Remarks,drug
292,42868,Remarks,narcotics
293,42882,Remarks,drugs
294,42932,Remarks,drugs
295,42994,Remarks,drugs
296,43013,Remarks,drug
297,43025,Remarks,drugs
298,43026,Remarks,drug
299,43027,Remarks,drugs
300,43038,Remarks,drugs
301,43054,Remarks,drug
302,43070,Remarks,drug
303,43097,Remarks,"{'narcotics', 'drugs'}"
304,43107,Remarks,"{'drug trafficking', 'drug'}"
305,43108,Remarks,drogas
306,43116,Remarks,drogas
307,43152,Remarks,narcotics
308,43160,Remarks,drug
309,43175,Remarks,drugs
310,43219,Remarks,drug
311,43233,Remarks,drogas
312,43235,Remarks,drug
313,43280,Remarks,drugs
314,43290,Remarks,drug
315,43306,Remarks,drugs
316,43322,Remarks,drugs
317,43336,Remarks,"{'drug trafficking', 'drug'}"
318,43344,Remarks,cocaine
319,43350,Remarks,drug
320,43359,Remarks,"{'drug', 'drugs'}"
321,43376,Remarks,drugs
322,43409,Remarks,cocaine
323,43415,Remarks,"{'cocaine', 'oxycodone', 'drug', 'intoxicated', 'morphine'}"
324,43495,Remarks,cocaine
325,43501,Remarks,drug
326,43502,Remarks,drug
327,43503,Remarks,drug
328,43532,Remarks,drug
329,43581,Remarks,narcotics
330,43586,Remarks,narcotics
331,43588,Remarks,cocaine
332,43686,Remarks,drug
333,43704,Remarks,drug
334,43712,Remarks,narcotics
335,43721,Remarks,drug
336,43729,Remarks,drugs
337,43736,Remarks,drugs
338,43740,Remarks,drugs
339,43777,Remarks,drugs
340,43810,Remarks,drugs
341,43828,Remarks,drug
342,43868,Remarks,drug
343,43875,Remarks,drug
344,44000,Remarks,drugs
345,44007,Remarks,cocaine
346,44023,Remarks,cocaine
347,44026,Remarks,drug
348,44085,Remarks,drug
349,44086,Remarks,drug
350,44088,Remarks,"{'drug trafficking', 'cocaine', 'drug'}"
351,44107,Remarks,drugs
352,44186,Remarks,drug
353,44187,Remarks,drug
354,44250,Remarks,cannabis
355,44289,Remarks,cocaine
356,44309,Remarks,drugs
357,44329,Remarks,heroin
358,44384,Remarks,drug
359,44387,Remarks,drug
360,44526,Remarks,"{'drug trafficking', 'drug'}"
361,44535,Remarks,cocaine
362,44592,Title,drug
363,46965,Name,tobacco
364,51949,Remarks,drugs
365,52276,Remarks,drugs
366,52773,Remarks,drugs
367,53320,Remarks,drugs
368,53491,Remarks,drugs
369,53894,Remarks,drugs
370,54187,Remarks,drugs
371,54331,Remarks,drugs
372,54489,Remarks,drugs
373,66648,Remarks,drug
374,71229,"{'Name', 'OrigName'}",drug
375,72019,"{'Name', 'OrigName'}",drugs
376,72407,"{'Name', 'OrigName'}",drug
377,72667,"{'Name', 'OrigName'}",drug
378,73215,"{'Name', 'OrigName'}",drug
379,73217,"{'Name', 'OrigName'}",drug
380,73495,"{'Name', 'OrigName'}",drug
381,73564,"{'Name', 'OrigName'}",drugs
382,73842,"{'Name', 'OrigName'}",drug
383,73976,"{'Name', 'OrigName'}",drug
384,73977,"{'Name', 'OrigName'}",drug
385,73978,"{'Name', 'OrigName'}",drug
386,74027,"{'Name', 'OrigName'}",drug
387,74168,"{'Name', 'OrigName'}",drug
388,74360,"{'Name', 'OrigName'}",drug
389,75272,"{'Name', 'OrigName'}",drug
390,76051,"{'Name', 'OrigName'}",drug
391,76052,"{'Name', 'OrigName'}",drug
392,76053,"{'Name', 'OrigName'}",drug
393,76054,"{'Name', 'OrigName'}",drug
394,76055,"{'Name', 'OrigName'}",drug
395,76056,"{'Name', 'OrigName'}",drug
396,76057,"{'Name', 'OrigName'}",drug
397,76058,"{'Name', 'OrigName'}",drug
398,76059,"{'Name', 'OrigName'}",drug
399,76220,"{'Name', 'OrigName'}",drug
400,78166,Remarks,drug
401,80293,"{'Name', 'OrigName'}",drugs
402,80298,"{'Name', 'OrigName'}",drugs
403,80303,"{'Name', 'OrigName'}",drugs
404,80813,"{'Name', 'OrigName'}",drugs
405,81155,"{'Name', 'OrigName'}",drugs
406,81158,"{'Name', 'OrigName'}",drugs
407,82378,Remarks,"{'drug trafficking', 'drug'}"
408,82379,Remarks,"{'drug trafficking', 'drug'}"
409,82380,Remarks,"{'drug trafficking', 'drug'}"
410,82381,Remarks,"{'drug trafficking', 'drug'}"
411,82421,Remarks,narcotics
412,82422,Remarks,narcotics
413,82423,Remarks,narcotics
414,82424,Remarks,narcotics
415,82425,Remarks,narcotics
416,82426,Remarks,narcotics
417,82427,Remarks,narcotics
418,82428,Remarks,narcotics
419,82429,Remarks,narcotics
420,82430,Remarks,narcotics
421,82431,Remarks,narcotics
422,82432,Remarks,narcotics
423,82433,Remarks,narcotics
424,82434,Remarks,narcotics
425,82435,Remarks,narcotics
426,82436,Remarks,narcotics
427,82437,Remarks,narcotics
428,82438,Remarks,narcotics
429,82439,Remarks,narcotics
430,82440,Remarks,narcotics
431,82612,Remarks,drug
432,82629,Remarks,heroin
433,82631,Remarks,heroin
434,84337,Remarks,"{'drug trafficking', 'drug'}"
435,84339,Remarks,"{'drug trafficking', 'drug'}"
436,84341,Remarks,"{'drug trafficking', 'drug'}"
437,84343,Remarks,"{'drug trafficking', 'drug'}"
438,84407,"{'Name', 'OrigName'}",tobacco
439,85562,Remarks,"{'drug trafficking', 'drug'}"
440,85565,Remarks,"{'drug trafficking', 'drug'}"
441,85568,Remarks,"{'drug trafficking', 'drug'}"
442,85570,Remarks,"{'drug trafficking', 'drug'}"
443,85573,Remarks,"{'drug trafficking', 'drug'}"
444,85576,Remarks,"{'drug trafficking', 'drug'}"
445,85579,Remarks,"{'drug trafficking', 'drug'}"
446,85581,Remarks,"{'drug trafficking', 'drug'}"
447,85582,Remarks,"{'drug trafficking', 'drug'}"
448,85586,Remarks,"{'drug trafficking', 'drug'}"
449,85589,Remarks,"{'drug trafficking', 'drug'}"
450,85592,Remarks,"{'drug trafficking', 'drug'}"
451,87057,"{'Name', 'OrigName'}",solvents
452,88072,"{'Name', 'OrigName'}",solvents
453,89339,"{'Name', 'OrigName'}",drugs
454,89677,"{'Name', 'OrigName'}",drugs
455,89974,"{'Name', 'OrigName'}",drugs
456,92578,Remarks,"{'drug trafficking', 'drug'}"
457,92580,Remarks,"{'drug trafficking', 'drug'}"
458,92583,Remarks,"{'drug trafficking', 'drug'}"
459,92586,Remarks,"{'drug trafficking', 'drug'}"
460,92640,Remarks,narcotics
461,92643,Remarks,narcotics
462,92645,Remarks,narcotics
463,92649,Remarks,narcotics
464,92653,Remarks,narcotics
465,92656,Remarks,narcotics
466,92659,Remarks,narcotics
467,92663,Remarks,narcotics
468,92667,Remarks,narcotics
469,92671,Remarks,narcotics
470,92675,Remarks,narcotics
471,92678,Remarks,narcotics
472,92682,Remarks,narcotics
473,92688,Remarks,narcotics
474,92693,Remarks,narcotics
475,92696,Remarks,narcotics
476,92699,Remarks,narcotics
477,92703,Remarks,narcotics
478,92706,Remarks,narcotics
479,92710,Remarks,narcotics
480,93299,Remarks,narcotics
481,93301,Remarks,narcotics
482,93304,Remarks,narcotics
483,93306,Remarks,narcotics
484,93307,Remarks,narcotics
485,93309,Remarks,narcotics
486,93310,Remarks,narcotics
487,93313,Remarks,narcotics
488,93315,Remarks,narcotics
489,93317,Remarks,narcotics
490,93319,Remarks,narcotics
491,93322,Remarks,narcotics
492,95139,Remarks,"{'drug trafficking', 'drug'}"
493,95142,Remarks,"{'drug trafficking', 'drug'}"
494,95144,Remarks,"{'drug trafficking', 'drug'}"
495,95146,Remarks,"{'drug trafficking', 'drug'}"
496,95544,Remarks,drug
497,95578,Remarks,drugs
498,96738,"{'Name', 'OrigName'}",drug
499,96740,"{'Name', 'OrigName'}",drug
500,97859,"{'Name', 'OrigName'}",drugs
501,98405,"{'Name', 'OrigName'}",tobacco
502,98416,"{'Name', 'OrigName'}",tobacco
503,98433,Remarks,"{'drug trafficking', 'drug'}"
504,98436,Remarks,"{'drug trafficking', 'drug'}"
505,98439,Remarks,"{'drug trafficking', 'drug'}"
506,98442,Remarks,"{'drug trafficking', 'drug'}"
507,99162,"{'Name', 'OrigName'}",drugs
508,99336,Remarks,drug
509,99341,Remarks,drug
510,99344,Remarks,drug
511,99349,Remarks,drug
512,99693,Remarks,tobacco
513,99758,"{'Name', 'OrigName'}",tobacco
514,99934,"{'Name', 'OrigName'}",drugs
515,100051,Remarks,narcotics
516,100056,Remarks,narcotics
517,100061,Remarks,narcotics
518,100066,Remarks,narcotics
519,100071,Remarks,narcotics
520,100075,Remarks,narcotics
521,100081,Remarks,narcotics
522,100089,Remarks,narcotics
523,100093,Remarks,narcotics
524,100099,Remarks,narcotics
525,100105,Remarks,narcotics
526,100108,Remarks,narcotics
527,100113,Remarks,narcotics
528,100119,Remarks,narcotics
529,100123,Remarks,narcotics
530,100129,Remarks,narcotics
531,100134,Remarks,narcotics
532,100139,Remarks,narcotics
533,100144,Remarks,narcotics
534,100149,Remarks,narcotics
535,100695,Remarks,heroin
536,100697,Remarks,heroin
537,100709,Remarks,drug
538,101254,Remarks,narcotics
539,101258,Remarks,narcotics
540,101261,Remarks,narcotics
541,101264,Remarks,narcotics
542,101266,Remarks,narcotics
543,101268,Remarks,narcotics
544,101271,Remarks,narcotics
545,101273,Remarks,narcotics
546,101275,Remarks,narcotics
547,101278,Remarks,narcotics
548,101280,Remarks,narcotics
549,101283,Remarks,narcotics
550,101286,Remarks,narcotics
551,101289,Remarks,narcotics
552,101292,Remarks,narcotics
553,101296,Remarks,narcotics
554,101299,Remarks,narcotics
555,101302,Remarks,narcotics
556,101305,Remarks,narcotics
557,101308,Remarks,narcotics
558,101403,Remarks,narcotics
559,101405,Remarks,narcotics
560,101408,Remarks,narcotics
561,101411,Remarks,narcotics
562,101414,Remarks,narcotics
563,101416,Remarks,narcotics
564,101418,Remarks,narcotics
565,101422,Remarks,narcotics
566,101426,Remarks,narcotics
567,101428,Remarks,narcotics
568,101429,Remarks,narcotics
569,101431,Remarks,narcotics
570,101917,Remarks,narcotics
571,101921,Remarks,narcotics
572,101923,Remarks,narcotics
573,101926,Remarks,narcotics
574,101929,Remarks,narcotics
575,101933,Remarks,narcotics
576,101936,Remarks,narcotics
577,101939,Remarks,narcotics
578,101941,Remarks,narcotics
579,101944,Remarks,narcotics
580,101946,Remarks,narcotics
581,101949,Remarks,narcotics
582,102536,"{'Name', 'OrigName'}",tobacco
583,102735,"{'Name', 'OrigName'}",drugs
584,102737,"{'Name', 'OrigName'}",drugs
585,103102,"{'Name', 'OrigName'}",drugs
586,103134,"{'Name', 'OrigName'}",drugs
